# An Atlas of Galaxy Spectral Energy Distributions from the Ultraviolet to the Mid-Infrared
# Brown et al. (2014)
# http://dx.doi.org/10.5072/03/529D3551F0117
# 
# Column 1 : Restframe Wavelength (Angstrom)
# Column 2 : Flux per unit wavelength (ergs/s/cm^2/Angstrom)
# Column 3 : Observed wavelength (Angstrom)
# Column 4 : Source (0 = model, 1 = Optical Spectrum, 2 = Akari, 3 = Spitzer IRS)
# 
   100.07 1.4007e-22    102.80 0 
   101.93 1.8211e-22    104.71 0 
   104.07 2.1594e-22    106.91 0 
   106.00 2.6445e-22    108.89 0 
   107.97 3.2911e-22    110.92 0 
   109.98 5.0274e-22    112.98 0 
   114.11 7.1177e-22    117.22 0 
   118.12 9.4916e-22    121.34 0 
   120.87 2.9740e-21    124.17 0 
   125.12 3.9205e-21    128.53 0 
   126.86 4.4293e-21    130.32 0 
   128.03 4.7461e-21    131.52 0 
   131.01 5.5891e-21    134.59 0 
   131.92 6.4467e-21    135.52 0 
   134.06 7.1506e-21    137.72 0 
   136.87 9.1272e-21    140.60 0 
   140.06 1.0601e-20    143.88 0 
   142.99 2.0909e-20    146.89 0 
   147.00 4.0211e-20    151.01 0 
   151.12 4.7461e-20    155.24 0 
   154.99 5.6278e-20    159.22 0 
   158.97 6.6579e-20    163.31 0 
   161.92 7.5048e-20    166.34 0 
   166.08 8.8174e-20    170.61 0 
   169.95 1.0170e-19    174.58 0 
   173.11 1.1333e-19    177.83 0 
   177.14 1.2982e-19    181.97 0 
   180.02 1.4300e-19    184.93 0 
   182.10 1.5288e-19    187.07 0 
   185.91 1.7312e-19    190.99 0 
   191.12 2.0107e-19    196.34 0 
   193.78 2.1996e-19    199.07 0 
   197.84 2.4566e-19    203.24 0 
   201.98 2.7437e-19    207.49 0 
   204.79 2.9672e-19    210.38 0 
   210.04 3.2534e-19    215.77 0 
   215.93 3.8935e-19    221.82 0 
   219.94 4.2790e-19    225.94 0 
   223.00 4.5430e-19    229.09 0 
   227.15 4.9928e-19    233.35 0 
   229.78 7.7507e-19    236.05 0 
   234.05 1.3376e-18    240.44 0 
   240.06 1.7432e-18    246.60 0 
   246.21 1.7756e-18    252.93 0 
   251.95 1.9649e-18    258.82 0 
   257.22 1.7352e-18    264.24 0 
   260.20 2.0528e-18    267.30 0 
   263.82 2.2097e-18    271.02 0 
   268.73 2.2979e-18    276.06 0 
   273.72 2.3787e-18    281.19 0 
   278.81 2.4623e-18    286.42 0 
   284.00 2.5488e-18    291.74 0 
   289.94 2.5371e-18    297.85 0 
   296.01 2.6813e-18    304.09 0 
   300.82 2.6999e-18    309.03 0 
   307.83 2.8467e-18    316.23 0 
   317.92 3.0573e-18    326.59 0 
   328.33 3.1940e-18    337.29 0 
   338.31 3.3063e-18    347.54 0 
   347.79 3.4067e-18    357.27 0 
   356.71 3.5022e-18    366.44 0 
   365.86 3.6086e-18    375.84 0 
   375.24 3.6842e-18    385.48 0 
   384.87 3.6504e-18    395.37 0 
   394.74 3.8224e-18    405.51 0 
   404.87 3.9025e-18    415.91 0 
   414.30 3.9477e-18    425.60 0 
   422.00 3.9659e-18    433.51 0 
   429.84 3.9842e-18    441.57 0 
   440.87 4.0489e-18    452.90 0 
   451.14 4.0676e-18    463.45 0 
   459.53 4.0770e-18    472.06 0 
   470.23 4.1053e-18    483.06 0 
   480.08 4.1432e-18    493.17 0 
   490.13 4.1432e-18    503.50 0 
   500.39 4.2106e-18    514.04 0 
   506.19 4.7571e-18    520.00 0 
   512.05 8.4205e-18    526.02 0 
   520.37 8.6964e-18    534.56 0 
   530.04 9.0644e-18    544.50 0 
   539.90 8.8581e-18    554.63 0 
   549.93 1.1385e-17    564.94 0 
   560.16 1.3163e-17    575.44 0 
   570.57 1.4701e-17    586.14 0 
   579.84 1.4267e-17    595.66 0 
   590.62 1.7153e-17    606.74 0 
   600.22 1.7879e-17    616.59 0 
   609.97 2.0718e-17    626.61 0 
   619.88 2.3732e-17    636.80 0 
   629.96 2.5724e-17    647.14 0 
   640.19 2.6384e-17    657.66 0 
   650.60 2.9946e-17    668.34 0 
   658.13 3.2014e-17    676.08 0 
   665.75 3.4146e-17    683.91 0 
   675.01 3.5103e-17    693.43 0 
   684.40 3.5346e-17    703.07 0 
   695.52 4.4498e-17    714.50 0 
   705.20 4.3285e-17    724.44 0 
   716.66 5.1801e-17    736.21 0 
   726.63 5.4368e-17    746.45 0 
   735.04 5.6799e-17    755.09 0 
   745.27 6.4171e-17    765.60 0 
   755.63 6.8602e-17    776.25 0 
   764.38 7.3340e-17    785.24 0 
   775.02 8.0046e-17    796.16 0 
   785.80 8.6764e-17    807.24 0 
   794.90 9.1063e-17    816.58 0 
   804.10 9.5574e-17    826.04 0 
   815.29 9.9619e-17    837.53 0 
   824.73 1.0948e-16    847.23 0 
   834.28 9.4916e-17    857.04 0 
   845.88 1.1704e-16    868.96 0 
   855.68 1.2199e-16    879.02 0 
   865.59 1.3132e-16    889.20 0 
   875.61 1.4136e-16    899.50 0 
   885.75 1.5358e-16    909.91 0 
   896.01 1.6231e-16    920.45 0 
   904.30 1.6495e-16    928.97 0 
   914.77 2.5665e-16    939.72 0 
   925.36 1.7961e-15    950.60 0 
