# An Atlas of Galaxy Spectral Energy Distributions from the Ultraviolet to the Mid-Infrared
# Brown et al. (2014)
# http://dx.doi.org/10.5072/03/529D3551F0117
# 
# Column 1 : Restframe Wavelength (Angstrom)
# Column 2 : Flux per unit wavelength (ergs/s/cm^2/Angstrom)
# Column 3 : Observed wavelength (Angstrom)
# Column 4 : Source (0 = model, 1 = Optical Spectrum, 2 = Akari, 3 = Spitzer IRS)
# 
   100.09 3.8072e-26    102.80 0 
   101.95 5.8830e-26    104.71 0 
   104.09 8.2338e-26    106.91 0 
   106.02 1.1738e-25    108.89 0 
   107.99 1.6967e-25    110.92 0 
   110.00 2.8158e-25    112.98 0 
   114.13 5.1357e-25    117.22 0 
   117.87 8.7217e-25    121.06 0 
   120.89 3.6949e-24    124.17 0 
   125.14 5.7890e-24    128.53 0 
   126.88 7.0081e-24    130.32 0 
   128.05 7.8271e-24    131.52 0 
   131.04 1.0224e-23    134.59 0 
   131.95 1.2607e-23    135.52 0 
   134.09 1.4812e-23    137.72 0 
   136.90 2.1558e-23    140.60 0 
   140.09 2.7265e-23    143.88 0 
   143.02 7.7732e-23    146.89 0 
   147.03 2.1311e-22    151.01 0 
   151.15 2.7454e-22    155.24 0 
   155.02 3.5449e-22    159.22 0 
   159.00 4.5772e-22    163.31 0 
   161.96 5.4651e-22    166.34 0 
   166.11 6.9599e-22    170.61 0 
   169.98 8.6219e-22    174.58 0 
   173.14 1.0130e-21    177.83 0 
   177.17 1.2377e-21    181.97 0 
   180.05 1.4276e-21    184.93 0 
   182.14 1.5725e-21    187.07 0 
   185.95 1.8863e-21    190.99 0 
   191.16 2.3475e-21    196.34 0 
   193.82 2.6829e-21    199.07 0 
   197.88 3.1521e-21    203.24 0 
   202.02 3.7034e-21    207.49 0 
   204.83 4.1649e-21    210.38 0 
   210.09 4.7929e-21    215.77 0 
   215.97 6.1745e-21    221.82 0 
   219.99 7.1056e-21    225.94 0 
   223.05 7.7732e-21    229.09 0 
   227.19 8.9043e-21    233.35 0 
   229.82 1.4441e-20    236.05 0 
   234.10 2.4638e-20    240.44 0 
   240.10 3.4802e-20    246.60 0 
   246.26 3.6949e-20    252.93 0 
   252.00 4.4015e-20    258.82 0 
   257.27 4.0328e-20    264.24 0 
   260.25 4.9386e-20    267.30 0 
   263.87 5.5539e-20    271.02 0 
   268.78 6.0340e-20    276.06 0 
   273.78 6.4953e-20    281.19 0 
   278.87 6.9759e-20    286.42 0 
   284.05 7.5440e-20    291.74 0 
   290.00 7.8271e-20    297.85 0 
   296.07 8.6021e-20    304.09 0 
   300.88 8.9454e-20    309.03 0 
   307.89 9.9221e-20    316.23 0 
   317.98 1.1392e-19    326.59 0 
   327.64 1.2665e-19    336.51 0 
   338.37 1.3887e-19    347.54 0 
   347.85 1.5052e-19    357.27 0 
   356.78 1.6353e-19    366.44 0 
   365.93 1.7890e-19    375.84 0 
   375.31 1.9037e-19    385.48 0 
   384.94 1.9661e-19    395.37 0 
   394.82 2.1858e-19    405.51 0 
   404.94 2.3638e-19    415.91 0 
   414.38 2.4866e-19    425.60 0 
   422.08 2.5680e-19    433.51 0 
   429.93 2.6706e-19    441.57 0 
   440.96 2.8682e-19    452.90 0 
   451.23 3.0102e-19    463.45 0 
   459.62 3.1089e-19    472.06 0 
   470.32 3.2855e-19    483.06 0 
   480.17 3.5124e-19    493.17 0 
   490.23 3.6526e-19    503.50 0 
   500.49 3.9683e-19    514.04 0 
   506.29 5.8157e-19    520.00 0 
   512.15 2.0446e-18    526.02 0 
   520.47 2.2213e-18    534.56 0 
   530.15 2.4525e-18    544.50 0 
   540.00 2.4356e-18    554.63 0 
   550.04 3.8159e-18    564.94 0 
   560.27 4.8151e-18    575.44 0 
   569.37 5.7227e-18    584.79 0 
   579.96 5.6053e-18    595.66 0 
   589.38 7.3893e-18    605.34 0 
   600.34 7.9543e-18    616.59 0 
   610.09 9.9908e-18    626.61 0 
   620.01 1.1792e-17    636.80 0 
   630.08 1.3292e-17    647.14 0 
   640.32 1.3759e-17    657.66 0 
   650.72 1.6391e-17    668.34 0 
   658.26 1.8014e-17    676.08 0 
   664.35 1.9436e-17    682.34 0 
   675.14 2.0073e-17    693.43 0 
   684.53 2.0352e-17    703.07 0 
   695.66 2.7454e-17    714.50 0 
   705.34 2.6583e-17    724.44 0 
   716.80 3.3159e-17    736.21 0 
   726.77 3.5286e-17    746.45 0 
   735.18 3.7377e-17    755.09 0 
   745.41 4.3511e-17    765.60 0 
   755.78 4.7490e-17    776.25 0 
   764.53 5.1476e-17    785.24 0 
   775.17 5.7227e-17    796.16 0 
   784.14 6.3038e-17    805.38 0 
   795.05 6.6773e-17    816.58 0 
   804.26 7.0893e-17    826.04 0 
   815.45 7.4405e-17    837.53 0 
   824.89 8.3292e-17    847.23 0 
   834.44 6.8802e-17    857.04 0 
   844.10 9.0075e-17    866.96 0 
   855.85 9.4103e-17    879.02 0 
   865.76 1.0294e-16    889.20 0 
   875.78 1.1210e-16    899.50 0 
   885.92 1.2405e-16    909.91 0 
   894.12 1.3262e-16    918.33 0 
   904.47 1.3415e-16    928.97 0 
   914.95 2.1164e-16    939.72 0 
   925.54 1.5798e-15    950.60 0 
   934.11 3.4722e-15    959.40 0 
   944.92 6.3621e-15    970.51 0 
   955.86 8.4450e-15    981.75 0 
   964.71 9.3886e-15    990.83 0 
   975.88 1.5367e-15   1002.31 0 
   984.91 7.3893e-15   1011.58 0 
   994.02 7.9360e-15   1020.94 0 
  1005.53 1.1577e-14   1032.76 0 
  1014.84 1.1577e-14   1042.32 0 
  1024.23 5.8966e-15   1051.96 0 
  1036.09 8.8227e-15   1064.14 0 
  1045.67 1.5403e-14   1073.99 0 
  1055.35 1.4744e-14   1083.93 0 
  1065.11 1.1792e-14   1093.96 0 
  1074.97 1.3983e-14   1104.08 0 
  1084.91 1.1497e-14   1114.29 0 
  1094.95 1.4983e-14   1124.61 0 
  1105.09 1.4015e-14   1135.01 0 
  1115.31 1.3602e-14   1145.51 0 
