# An Atlas of Galaxy Spectral Energy Distributions from the Ultraviolet to the Mid-Infrared
# Brown et al. (2014)
# http://dx.doi.org/10.5072/03/529D3551F0117
# 
# Column 1 : Restframe Wavelength (Angstrom)
# Column 2 : Flux per unit wavelength (ergs/s/cm^2/Angstrom)
# Column 3 : Observed wavelength (Angstrom)
# Column 4 : Source (0 = model, 1 = Optical Spectrum, 2 = Akari, 3 = Spitzer IRS)
# 
   100.05 1.2970e-23    102.57 0 
   101.91 1.8153e-23    104.47 0 
   104.05 2.3171e-23    106.66 0 
   105.98 3.0405e-23    108.64 0 
   107.95 4.0359e-23    110.66 0 
   109.96 6.3671e-23    112.72 0 
   114.09 1.0114e-22    116.95 0 
   118.10 1.5099e-22    121.06 0 
   121.13 5.1754e-22    124.17 0 
   125.09 7.4121e-22    128.23 0 
   127.13 8.6884e-22    130.32 0 
   128.01 9.5048e-22    131.22 0 
   130.99 1.1802e-21    134.28 0 
   131.90 1.3994e-21    135.21 0 
   134.04 1.6030e-21    137.40 0 
   136.85 2.1674e-21    140.28 0 
   140.03 2.6360e-21    143.55 0 
   142.97 6.0387e-21    146.55 0 
   146.97 1.3457e-20    150.66 0 
   151.09 1.6632e-20    154.88 0 
   154.97 2.0651e-20    158.85 0 
   158.94 2.5465e-20    162.93 0 
   161.90 2.9576e-20    165.96 0 
   166.05 3.6219e-20    170.22 0 
   169.92 4.3445e-20    174.18 0 
   173.08 4.9767e-20    177.42 0 
   177.11 5.8877e-20    181.55 0 
   179.98 6.6672e-20    184.50 0 
   182.07 7.2434e-20    186.64 0 
   185.88 8.4517e-20    190.55 0 
   191.09 1.0185e-19    195.88 0 
   194.19 1.1427e-19    199.07 0 
   197.80 1.3120e-19    202.77 0 
   201.95 1.5064e-19    207.01 0 
   205.23 1.6632e-19    210.38 0 
   210.01 1.8747e-19    215.28 0 
   215.89 2.3331e-19    221.31 0 
   219.90 2.6299e-19    225.42 0 
   222.96 2.8375e-19    228.56 0 
   227.11 3.1838e-19    232.81 0 
   229.74 5.0576e-19    235.50 0 
   234.01 8.8500e-19    239.88 0 
   240.01 1.1883e-18    246.04 0 
   246.17 1.2443e-18    252.35 0 
   251.90 1.4254e-18    258.23 0 
   257.18 1.2910e-18    263.63 0 
   260.16 1.5450e-18    266.69 0 
   263.78 1.6980e-18    270.40 0 
   269.30 1.8069e-18    276.06 0 
   274.31 1.9096e-18    281.19 0 
   278.76 2.0135e-18    285.76 0 
   283.95 2.1328e-18    291.07 0 
   289.89 2.1674e-18    297.17 0 
   295.96 2.3439e-18    303.39 0 
   300.77 2.4096e-18    308.32 0 
   307.78 2.5998e-18    315.50 0 
   317.86 2.8836e-18    325.84 0 
   328.27 3.1113e-18    336.51 0 
   338.25 3.3185e-18    346.74 0 
   347.72 3.5151e-18    356.45 0 
   356.64 3.7149e-18    365.59 0 
   365.79 3.9350e-18    374.97 0 
   375.18 4.1015e-18    384.59 0 
   384.80 4.1586e-18    394.46 0 
   394.67 4.4662e-18    404.58 0 
   404.79 4.6767e-18    414.95 0 
   414.22 4.8188e-18    424.62 0 
   421.92 4.9084e-18    432.51 0 
   429.77 4.9997e-18    440.55 0 
   440.79 5.1993e-18    451.86 0 
   451.06 5.3081e-18    462.38 0 
   460.51 5.3820e-18    472.06 0 
   470.15 5.4947e-18    481.95 0 
   479.99 5.6356e-18    492.04 0 
   490.04 5.6616e-18    502.34 0 
   500.31 5.8203e-18    512.86 0 
   506.10 5.8606e-18    518.80 0 
   511.96 6.3379e-18    524.81 0 
   520.28 6.4112e-18    533.33 0 
   529.95 6.4557e-18    543.25 0 
   539.80 6.3818e-18    553.35 0 
   549.84 6.5757e-18    563.64 0 
   560.06 6.9015e-18    574.12 0 
   570.47 7.1276e-18    584.79 0 
   579.74 7.0785e-18    594.29 0 
   590.52 7.3611e-18    605.34 0 
   600.12 7.3104e-18    615.18 0 
   609.87 7.0298e-18    625.17 0 
   619.78 7.9240e-18    635.33 0 
   629.85 8.0157e-18    645.65 0 
   640.08 8.1647e-18    656.15 0 
   650.48 8.4128e-18    666.81 0 
   658.01 8.4907e-18    674.53 0 
   665.63 8.7487e-18    682.34 0 
   674.89 8.8500e-18    691.83 0 
   684.28 8.7085e-18    701.46 0 
   695.40 9.5487e-18    712.85 0 
   705.07 9.2671e-18    722.77 0 
   716.53 1.0138e-17    734.51 0 
   726.50 1.0326e-17    744.73 0 
   734.91 1.0518e-17    753.36 0 
   745.13 1.1039e-17    763.84 0 
   755.50 1.1375e-17    774.46 0 
   764.25 1.1349e-17    783.43 0 
   774.88 1.2245e-17    794.33 0 
   785.66 1.2675e-17    805.38 0 
   794.76 1.3090e-17    814.70 0 
   805.81 1.3457e-17    826.04 0 
   815.15 1.3770e-17    835.60 0 
   824.58 1.4586e-17    845.28 0 
   834.13 1.3000e-17    855.07 0 
   845.74 1.5134e-17    866.96 0 
   855.53 1.5486e-17    877.00 0 
   865.44 1.6291e-17    887.16 0 
   875.46 1.7098e-17    897.43 0 
   885.59 1.8111e-17    907.82 0 
   895.85 1.8834e-17    918.33 0 
   904.14 1.9008e-17    926.83 0 
   914.61 2.7539e-17    937.56 0 
   925.20 1.5593e-16    948.42 0 
   935.91 3.3958e-16    959.40 0 
   944.57 6.5757e-16    968.28 0 
   955.51 9.2884e-16    979.49 0 
   964.35 1.0913e-15    988.55 0 
   975.52 2.0274e-16   1000.00 0 
   984.54 1.0185e-15   1009.25 0 
   995.94 1.0518e-15   1020.94 0 
  1005.16 1.4586e-15   1030.39 0 
  1014.46 1.3770e-15   1039.92 0 
  1023.85 5.7404e-16   1049.54 0 
  1035.70 1.0068e-15   1061.70 0 
  1045.29 1.8747e-15   1071.52 0 
  1054.96 1.8618e-15   1081.43 0 
  1064.72 1.5239e-15   1091.44 0 
  1074.57 1.7986e-15   1101.54 0 
  1084.51 1.4654e-15   1111.73 0 
  1094.55 1.8921e-15   1122.02 0 
  1104.68 1.8321e-15   1132.40 0 
  1114.90 1.7862e-15   1142.88 0 
  1125.21 1.6291e-15   1153.45 0 
  1135.63 2.0135e-15   1164.13 0 
  1146.13 1.8448e-15   1174.90 0 
  1154.08 1.9586e-15   1183.04 0 
  1164.76 2.0368e-15   1193.99 0 
  1175.53 1.4721e-15   1205.04 0 
  1183.68 1.9813e-15   1213.39 0 
  1194.63 1.4059e-15   1224.62 0 
  1205.69 1.0422e-15   1235.95 0 
  1214.05 6.2509e-16   1244.51 0 
  1225.28 1.3364e-15   1256.03 0 
  1233.77 2.0088e-15   1264.74 0 
  1245.19 2.2281e-15   1276.44 0 
  1253.82 2.1575e-15   1285.29 0 
  1265.42 1.8791e-15   1297.18 0 
  1274.19 2.3875e-15   1306.17 0 
  1285.98 2.5000e-15   1318.26 0 
  1294.90 2.0462e-15   1327.39 0 
  1303.87 2.0274e-15   1336.60 0 
  1315.94 2.4771e-15   1348.96 0 
  1325.06 2.3875e-15   1358.31 0 
  1334.24 2.1525e-15   1367.73 0 
  1343.49 2.5116e-15   1377.21 0 
  1355.92 2.4431e-15   1389.95 0 
  1365.32 2.2230e-15   1399.59 0 
  1374.79 2.3278e-15   1409.29 0 
  1384.32 2.3602e-15   1419.06 0 
  1393.91 2.0890e-15   1428.89 0 
  1403.57 2.1774e-15   1438.80 0 
  1416.56 2.2230e-15   1452.11 0 
  1426.38 2.2748e-15   1462.18 0 
  1436.27 2.2643e-15   1472.31 0 
  1442.90 2.3820e-15   1479.11 0 
  1446.22 2.4151e-15   1482.52 0 
  1456.25 2.3656e-15   1492.79 0 
  1466.34 2.2077e-15   1503.14 0 
  1476.51 2.2026e-15   1513.56 0 
  1483.32 2.2333e-15   1520.55 0 
  1493.60 2.2696e-15   1531.09 0 
  1503.96 2.1674e-15   1541.70 0 
  1510.90 1.9586e-15   1548.82 0 
  1517.87 2.0842e-15   1555.97 0 
  1524.88 2.0321e-15   1563.15 0 
  1535.45 1.8069e-15   1573.98 0 
  1546.09 1.9722e-15   1584.89 0 
  1553.23 1.8704e-15   1592.21 0 
  1563.99 1.9008e-15   1603.25 0 
  1574.83 2.0274e-15   1614.36 0 
  1585.75 2.1132e-15   1625.55 0 
  1596.74 2.1674e-15   1636.82 0 
  1604.11 2.1181e-15   1644.37 0 
  1615.23 2.1230e-15   1655.77 0 
  1626.43 2.0227e-15   1667.25 0 
  1633.94 2.1426e-15   1674.94 0 
  1645.26 2.1774e-15   1686.55 0 
  1656.67 2.0135e-15   1698.24 0 
  1664.31 2.2077e-15   1706.08 0 
  1672.00 1.9858e-15   1713.96 0 
  1675.85 2.2643e-15   1717.91 0 
  1683.58 2.3493e-15   1725.84 0 
  1695.26 2.2077e-15   1737.80 0 
  1703.08 2.1377e-15   1745.82 0 
  1714.88 2.0794e-15   1757.92 0 
  1726.77 2.0794e-15   1770.11 0 
  1734.74 2.2230e-15   1778.28 0 
  1746.77 2.1674e-15   1790.61 0 
  1754.83 2.3278e-15   1798.87 0 
  1766.99 2.1132e-15   1811.34 0 
  1775.15 2.2077e-15   1819.70 0 
  1783.34 2.2384e-15   1828.10 0 
  1795.71 2.4207e-15   1840.77 0 
  1803.99 2.3765e-15   1849.27 0 
  1816.50 2.2488e-15   1862.09 0 
  1824.88 2.2748e-15   1870.68 0 
  1833.31 2.1875e-15   1879.32 0 
  1846.01 2.0088e-15   1892.34 0 
  1854.54 2.0604e-15   1901.08 0 
  1863.09 2.1525e-15   1909.85 0 
  1876.01 2.2748e-15   1923.09 0 
  1884.67 2.1426e-15   1931.97 0 
  1893.37 2.1035e-15   1940.89 0 
  1906.49 2.1875e-15   1954.34 0 
  1915.29 2.1475e-15   1963.36 0 
  1924.13 2.0890e-15   1972.42 0 
  1933.01 2.0415e-15   1981.53 0 
  1946.41 2.2748e-15   1995.26 0 
  1955.40 2.1674e-15   2004.47 0 
  1968.95 2.3711e-15   2018.37 0 
  1978.04 2.4040e-15   2027.68 0 
  1982.60 2.3171e-15   2032.36 0 
  1996.34 2.2643e-15   2046.45 0 
  2005.56 2.2800e-15   2055.89 0 
  2014.81 2.2281e-15   2065.38 0 
  2024.11 2.2643e-15   2074.91 0 
  2033.46 2.2539e-15   2084.49 0 
  2042.84 2.3602e-15   2094.11 0 
  2057.00 2.2643e-15   2108.63 0 
  2066.50 2.2539e-15   2118.36 0 
  2076.04 2.4431e-15   2128.14 0 
  2085.62 2.5582e-15   2137.96 0 
  2095.25 2.4263e-15   2147.83 0 
  2104.92 2.3930e-15   2157.74 0 
  2114.63 2.4431e-15   2167.70 0 
  2124.39 2.4600e-15   2177.71 0 
  2134.20 2.2591e-15   2187.76 0 
  2144.05 2.4096e-15   2197.86 0 
  2153.95 2.4714e-15   2208.01 0 
  2163.89 2.3602e-15   2218.20 0 
  2173.88 2.3493e-15   2228.44 0 
  2183.91 2.3985e-15   2238.72 0 
  2193.99 2.5173e-15   2249.05 0 
  2204.12 2.4375e-15   2259.44 0 
  2214.29 2.2591e-15   2269.86 0 
  2224.51 2.2333e-15   2280.34 0 
  2234.78 2.4828e-15   2290.87 0 
  2245.10 2.3607e-15   2301.44 0 
  2255.46 2.2020e-15   2312.07 0 
  2265.87 2.2315e-15   2322.74 0 
  2276.33 2.3354e-15   2333.46 0 
  2286.84 2.4782e-15   2344.23 0 
  2297.39 2.3063e-15   2355.05 0 
  2302.69 2.3950e-15   2360.48 0 
  2313.32 2.2756e-15   2371.37 0 
  2323.99 1.8066e-15   2382.32 0 
  2334.72 2.0308e-15   2393.32 0 
  2345.50 1.8554e-15   2404.36 0 
  2356.32 2.2143e-15   2415.46 0 
  2367.20 1.8881e-15   2426.61 0 
  2372.66 2.0485e-15   2432.20 0 
  2383.61 1.7548e-15   2443.43 0 
  2394.61 1.9276e-15   2454.71 0 
  2405.66 1.8699e-15   2466.04 0 
  2416.77 1.9526e-15   2477.42 0 
  2422.34 2.2544e-15   2483.13 0 
  2433.52 2.1920e-15   2494.60 0 
  2444.75 2.3694e-15   2506.11 0 
  2456.04 2.3684e-15   2517.68 0 
  2467.37 2.3241e-15   2529.30 0 
  2473.06 2.1962e-15   2535.13 0 
  2484.48 2.1502e-15   2546.83 0 
  2495.95 2.0811e-15   2558.59 0 
  2507.47 2.4724e-15   2570.40 0 
  2513.25 1.9749e-15   2576.32 0 
  2519.04 1.9229e-15   2582.26 0 
  2524.85 1.8809e-15   2588.21 0 
  2536.50 2.0053e-15   2600.16 0 
  2542.35 2.0211e-15   2606.15 0 
  2554.08 2.3519e-15   2618.18 0 
  2565.87 2.1992e-15   2630.27 0 
  2577.72 2.4160e-15   2642.41 0 
  2583.66 2.3578e-15   2648.50 0 
  2595.58 2.2927e-15   2660.72 0 
  2607.56 2.1736e-15   2673.01 0 
  2613.58 2.0970e-15   2679.17 0 
  2625.64 2.3575e-15   2691.54 0 
  2637.76 2.6625e-15   2703.96 0 
  2643.84 3.1240e-15   2710.19 0 
  2656.04 3.4321e-15   2722.70 0 
  2662.17 2.8444e-15   2728.98 0 
  2674.45 3.0750e-15   2741.57 0 
  2686.80 3.1893e-15   2754.23 0 
  2692.99 2.8387e-15   2760.58 0 
  2705.42 3.0760e-15   2773.32 0 
  2717.91 2.7280e-15   2786.12 0 
  2724.18 2.6624e-15   2792.54 0 
  2736.75 2.9116e-15   2805.43 0 
  2743.06 2.2416e-15   2811.90 0 
  2755.72 2.4572e-15   2824.88 0 
  2762.07 2.7031e-15   2831.39 0 
  2774.82 2.8956e-15   2844.46 0 
  2787.63 2.4356e-15   2857.59 0 
  2794.06 1.6598e-15   2864.18 0 
  2806.95 1.8404e-15   2877.40 0 
