# An Atlas of Galaxy Spectral Energy Distributions from the Ultraviolet to the Mid-Infrared
# Brown et al. (2014)
# http://dx.doi.org/10.5072/03/529D3551F0117
# 
# Column 1 : Restframe Wavelength (Angstrom)
# Column 2 : Flux per unit wavelength (ergs/s/cm^2/Angstrom)
# Column 3 : Observed wavelength (Angstrom)
# Column 4 : Source (0 = model, 1 = Optical Spectrum, 2 = Akari, 3 = Spitzer IRS)
# 
   100.06 1.3588e-26    100.46 0 
   101.92 2.2037e-26    102.33 0 
   104.06 3.2371e-26    104.47 0 
   105.99 4.8212e-26    106.41 0 
   107.96 7.2804e-26    108.39 0 
   109.97 1.2251e-25    110.41 0 
   114.10 2.4108e-25    114.55 0 
   118.11 4.3869e-25    118.58 0 
   121.14 2.0284e-24    121.62 0 
   125.10 3.3278e-24    125.60 0 
   127.14 4.1035e-24    127.64 0 
   128.02 4.6361e-24    128.53 0 
   131.00 6.1966e-24    131.52 0 
   131.91 7.8011e-24    132.43 0 
   134.05 9.3359e-24    134.59 0 
   136.86 1.4098e-23    137.40 0 
   140.05 1.8162e-23    140.60 0 
   142.98 6.0139e-23    143.55 0 
   146.98 1.9371e-22    147.57 0 
   151.10 2.5244e-22    151.71 0 
   154.98 3.3049e-22    155.60 0 
   158.95 4.3267e-22    159.59 0 
   161.91 5.2138e-22    162.55 0 
   166.06 6.7477e-22    166.72 0 
   169.93 8.4558e-22    170.61 0 
   173.09 1.0027e-21    173.78 0 
   177.12 1.2392e-21    177.83 0 
   180.00 1.4426e-21    180.72 0 
   182.08 1.5965e-21    182.81 0 
   185.90 1.9371e-21    186.64 0 
   191.10 2.4443e-21    191.87 0 
   194.21 2.8194e-21    194.98 0 
   197.82 3.3355e-21    198.61 0 
   201.96 3.9642e-21    202.77 0 
   204.77 4.4787e-21    205.59 0 
   210.02 5.2018e-21    210.86 0 
   215.91 6.8101e-21    216.77 0 
   219.92 7.9096e-21    220.80 0 
   222.98 8.6927e-21    223.87 0 
   227.13 1.0050e-20    228.03 0 
   229.76 1.6755e-20    230.67 0 
   234.03 3.0002e-20    234.96 0 
   240.03 4.2380e-20    240.99 0 
   246.19 4.5306e-20    247.17 0 
   251.92 5.4345e-20    252.93 0 
   257.20 5.0484e-20    258.23 0 
   260.18 6.1540e-20    261.22 0 
   263.80 6.9528e-20    264.85 0 
   268.70 7.5711e-20    269.77 0 
   273.70 8.2065e-20    274.79 0 
   278.79 8.8952e-20    279.90 0 
   283.97 9.6196e-20    285.10 0 
   289.91 1.0027e-19    291.07 0 
   295.99 1.1096e-19    297.17 0 
   300.79 1.1753e-19    302.00 0 
   307.80 1.3066e-19    309.03 0 
   317.88 1.5106e-19    319.15 0 
   328.30 1.6949e-19    329.61 0 
   338.27 1.8757e-19    339.63 0 
   347.75 2.0566e-19    349.14 0 
   356.67 2.2344e-19    358.10 0 
   365.82 2.4387e-19    367.28 0 
   375.21 2.6131e-19    376.70 0 
   384.83 2.7237e-19    386.37 0 
   394.70 3.0210e-19    396.28 0 
   404.83 3.2671e-19    406.44 0 
   414.26 3.4368e-19    415.91 0 
   421.96 3.5576e-19    423.64 0 
   429.80 3.7081e-19    431.52 0 
   440.83 3.9551e-19    442.59 0 
   451.10 4.1225e-19    452.90 0 
   459.48 4.2575e-19    461.32 0 
   470.19 4.4479e-19    472.06 0 
   480.03 4.6790e-19    481.95 0 
   490.08 4.7660e-19    492.04 0 
   500.35 5.0484e-19    502.34 0 
   506.14 5.2258e-19    508.16 0 
   512.00 7.5711e-19    514.04 0 
   520.32 8.0197e-19    522.40 0 
   529.99 8.5341e-19    532.11 0 
   539.85 8.5932e-19    542.00 0 
   549.88 1.1224e-18    552.08 0 
   560.11 1.3218e-18    562.34 0 
   570.52 1.5316e-18    572.80 0 
   579.79 1.5176e-18    582.10 0 
   590.57 1.9149e-18    592.93 0 
   600.16 2.0852e-18    602.56 0 
   609.92 2.4669e-18    612.35 0 
   619.83 2.9118e-18    622.30 0 
   629.90 3.2746e-18    632.41 0 
   640.13 3.3741e-18    642.69 0 
   650.53 4.0009e-18    653.13 0 
   658.07 4.4684e-18    660.69 0 
   665.69 4.7770e-18    668.34 0 
   674.95 4.8996e-18    677.64 0 
   684.34 5.0252e-18    687.07 0 
   695.46 6.8101e-18    698.23 0 
   705.13 6.7633e-18    707.95 0 
   716.59 8.2444e-18    719.45 0 
   726.56 8.8543e-18    729.46 0 
   734.97 9.4440e-18    737.90 0 
   745.19 1.1121e-17    748.17 0 
   755.56 1.2279e-17    758.58 0 
   764.31 1.3402e-17    767.36 0 
   774.94 1.5037e-17    778.04 0 
   785.72 1.6678e-17    788.86 0 
   794.82 1.7830e-17    797.99 0 
   805.88 1.9061e-17    809.10 0 
   815.21 2.0237e-17    818.46 0 
   824.65 2.2864e-17    827.94 0 
   834.20 1.8628e-17    837.53 0 
   845.80 2.5012e-17    849.18 0 
   855.60 2.6312e-17    859.01 0 
   865.51 2.9051e-17    868.96 0 
   875.53 3.2000e-17    879.02 0 
   885.67 3.5905e-17    889.20 0 
   895.92 3.8740e-17    899.50 0 
   904.21 3.8829e-17    907.82 0 
   914.68 6.6398e-17    918.33 0 
   925.27 5.3971e-16    928.97 0 
   935.99 1.2251e-15    939.72 0 
   944.65 2.4443e-15    948.42 0 
   955.59 3.6573e-15    959.40 0 
   964.43 3.9188e-15    968.28 0 
   975.60 5.4345e-16    979.49 0 
   984.62 2.9591e-15    988.55 0 
   996.02 3.4927e-15   1000.00 0 
  1005.24 5.7432e-15   1009.25 0 
  1014.54 5.7830e-15   1018.59 0 
  1023.93 2.5478e-15   1028.02 0 
  1035.79 3.7858e-15   1039.92 0 
  1045.37 8.1876e-15   1049.54 0 
  1055.04 8.1312e-15   1059.25 0 
  1064.80 6.0556e-15   1069.05 0 
  1074.66 7.6235e-15   1078.95 0 
  1084.60 5.6906e-15   1088.93 0 
  1094.64 8.3206e-15   1099.01 0 
  1104.76 7.9645e-15   1109.18 0 
  1114.99 7.4844e-15   1119.44 0 
  1125.30 6.6246e-15   1129.80 0 
  1135.72 9.1866e-15   1140.25 0 
  1146.22 8.2824e-15   1150.80 0 
  1154.17 9.1024e-15   1158.78 0 
  1164.85 9.4440e-15   1169.50 0 
  1175.63 6.0835e-15   1180.32 0 
  1183.78 9.4223e-15   1188.50 0 
  1194.73 6.0139e-15   1199.50 0 
  1205.78 3.9642e-15   1210.60 0 
  1214.14 3.1344e-15   1218.99 0 
