# An Atlas of Galaxy Spectral Energy Distributions from the Ultraviolet to the Mid-Infrared
# Brown et al. (2014)
# http://dx.doi.org/10.5072/03/529D3551F0117
# 
# Column 1 : Restframe Wavelength (Angstrom)
# Column 2 : Flux per unit wavelength (ergs/s/cm^2/Angstrom)
# Column 3 : Observed wavelength (Angstrom)
# Column 4 : Source (0 = model, 1 = Optical Spectrum, 2 = Akari, 3 = Spitzer IRS)
# 
   102.00 1.8779e-23    105.68 0 
   103.90 2.4466e-23    107.65 0 
   106.07 3.2617e-23    109.90 0 
   108.04 4.4396e-23    111.94 0 
   110.05 6.8585e-23    114.02 0 
   113.92 1.1041e-22    118.03 0 
   117.92 1.6550e-22    122.18 0 
   120.95 7.2381e-22    125.31 0 
   124.91 1.0032e-21    129.42 0 
   126.94 1.1358e-21    131.52 0 
   128.11 1.2337e-21    132.74 0 
   131.10 1.4624e-21    135.83 0 
   132.01 1.7783e-21    136.77 0 
   134.15 1.9629e-21    139.00 0 
   136.96 2.6775e-21    141.91 0 
   140.15 3.1086e-21    145.21 0 
   143.09 9.0865e-21    148.25 0 
   147.10 2.2345e-20    152.41 0 
   150.87 2.6119e-20    156.31 0 
   155.10 3.0671e-20    160.69 0 
   159.07 3.6017e-20    164.82 0 
   162.03 4.0118e-20    167.88 0 
   166.19 4.6893e-20    172.19 0 
   170.06 5.3444e-20    176.20 0 
   172.82 5.9121e-20    179.06 0 
   176.85 6.6914e-20    183.23 0 
   180.14 7.3002e-20    186.64 0 
   181.80 7.7311e-20    188.36 0 
   186.04 8.6498e-20    192.75 0 
   190.81 9.9024e-20    197.70 0 
   193.91 1.0779e-19    200.91 0 
   197.97 1.1867e-19    205.12 0 
   202.12 1.3125e-19    209.41 0 
   204.93 1.4091e-19    212.32 0 
   210.18 1.5054e-19    217.77 0 
   216.07 1.7837e-19    223.87 0 
   220.09 1.9503e-19    228.03 0 
   223.15 2.0461e-19    231.21 0 
   226.78 2.2270e-19    234.96 0 
   229.93 3.2252e-19    238.23 0 
   234.21 4.9467e-19    242.66 0 
   240.21 6.4860e-19    248.89 0 
   245.81 6.4515e-19    254.68 0 
   252.12 7.2662e-19    261.22 0 
   256.80 6.3833e-19    266.07 0 
   259.78 7.5662e-19    269.15 0 
   264.00 8.1779e-19    273.53 0 
   268.91 8.4990e-19    278.61 0 
   273.90 8.7515e-19    283.79 0 
   279.00 9.0323e-19    289.07 0 
   284.18 9.3434e-19    294.44 0 
   290.13 9.2720e-19    300.61 0 
   296.21 9.7461e-19    306.90 0 
   301.02 9.8301e-19    311.89 0 
   308.03 1.0355e-18    319.15 0 
   318.13 1.1056e-18    329.61 0 
   327.79 1.1562e-18    339.63 0 
   337.75 1.1898e-18    349.95 0 
   348.02 1.2215e-18    360.58 0 
   356.94 1.2601e-18    369.83 0 
   366.10 1.3270e-18    379.31 0 
   374.63 1.3471e-18    388.15 0 
   385.12 1.3237e-18    399.02 0 
   395.00 1.4166e-18    409.26 0 
   405.13 1.4848e-18    419.76 0 
   413.62 1.4934e-18    428.55 0 
   422.28 1.4815e-18    437.52 0 
   430.13 1.4833e-18    445.66 0 
   441.16 1.5332e-18    457.09 0 
   451.44 1.5418e-18    467.74 0 
   459.83 1.5190e-18    476.43 0 
   469.46 1.5346e-18    486.41 0 
   480.40 1.5789e-18    497.74 0 
   490.46 1.5339e-18    508.16 0 
   499.57 1.6116e-18    517.61 0 
   506.52 1.7253e-18    524.81 0 
   512.39 3.7891e-18    530.88 0 
   519.52 4.0283e-18    538.27 0 
   530.39 4.3003e-18    549.54 0 
   540.26 4.1873e-18    559.76 0 
   550.30 6.2712e-18    570.16 0 
   560.53 7.6166e-18    580.76 0 
   569.64 8.9585e-18    590.20 0 
   580.23 8.5630e-18    601.17 0 
   589.66 1.1300e-17    610.94 0 
   600.62 1.2259e-17    622.30 0 
   610.38 1.5062e-17    632.41 0 
   620.30 1.7350e-17    642.69 0 
   630.38 1.9441e-17    653.13 0 
   640.62 1.9504e-17    663.74 0 
   649.53 2.3100e-17    672.98 0 
   658.57 2.5768e-17    682.34 0 
   664.66 2.7210e-17    688.65 0 
   675.46 2.7233e-17    699.84 0 
   684.86 2.7387e-17    709.58 0 
   694.38 3.7496e-17    719.45 0 
   705.67 3.6419e-17    731.14 0 
   715.48 4.3930e-17    741.31 0 
   725.44 4.6257e-17    751.62 0 
   735.53 4.8706e-17    762.08 0 
   745.76 5.6883e-17    772.68 0 
   754.40 6.1869e-17    781.63 0 
   764.89 6.6813e-17    792.50 0 
   775.53 7.3660e-17    803.53 0 
   784.51 8.0668e-17    812.83 0 
   795.42 8.4539e-17    824.14 0 
   804.64 8.9231e-17    833.68 0 
   815.83 9.3080e-17    845.28 0 
   825.28 1.0382e-16    855.07 0 
   834.83 8.2553e-17    864.97 0 
   844.50 1.1019e-16    874.98 0 
   854.28 1.1391e-16    885.12 0 
   864.17 1.2445e-16    895.36 0 
   874.18 1.3533e-16    905.73 0 
   884.30 1.4990e-16    916.22 0 
   894.54 1.5966e-16    926.83 0 
   904.90 1.5724e-16    937.56 0 
   915.38 2.6850e-16    948.42 0 
   925.98 2.1843e-15    959.40 0 
   934.54 4.8730e-15    968.28 0 
   945.36 9.5753e-15    979.49 0 
   954.11 1.4178e-14    988.55 0 
   965.16 1.4790e-14   1000.00 0 
   974.09 2.0018e-15   1009.25 0 
   985.37 1.0684e-14   1020.94 0 
   994.49 1.2624e-14   1030.39 0 
  1006.00 2.0822e-14   1042.32 0 
  1015.31 2.0795e-14   1051.96 0 
  1024.71 9.1282e-15   1061.70 0 
  1034.19 1.3177e-14   1071.52 0 
  1046.16 2.8516e-14   1083.93 0 
  1055.84 2.8022e-14   1093.96 0 
  1065.61 2.0460e-14   1104.08 0 
  1075.47 2.5605e-14   1114.29 0 
  1085.42 1.8738e-14   1124.61 0 
  1095.47 2.7422e-14   1135.01 0 
  1105.60 2.6332e-14   1145.51 0 
  1115.83 2.4596e-14   1156.11 0 
  1126.16 2.1589e-14   1166.81 0 
  1133.96 2.9838e-14   1174.90 0 
  1144.46 2.6554e-14   1185.77 0 
  1155.05 2.9072e-14   1196.74 0 
  1165.73 2.9911e-14   1207.81 0 
  1173.81 1.9113e-14   1216.19 0 
  1184.67 2.9018e-14   1227.44 0 
  1195.64 1.7742e-14   1238.80 0 
  1203.92 1.1521e-14   1247.38 0 
  1215.06 9.2003e-15   1258.93 0 
  1226.31 1.9503e-14   1270.57 0 
  1234.81 3.1812e-14   1279.38 0 
  1246.23 3.5147e-14   1291.22 0 
  1254.87 3.2760e-14   1300.17 0 
  1263.57 2.7153e-14   1309.18 0 
  1275.26 3.7419e-14   1321.30 0 
  1284.10 3.9678e-14   1330.45 0 
  1295.98 2.8629e-14   1342.77 0 
  1304.97 2.8265e-14   1352.07 0 
  1314.01 3.8080e-14   1361.44 0 
  1326.17 3.5970e-14   1374.04 0 
  1335.36 3.0225e-14   1383.57 0 
  1344.62 3.8707e-14   1393.16 0 
  1353.94 3.7257e-14   1402.81 0 
  1366.47 3.2094e-14   1415.79 0 
  1375.94 3.4343e-14   1425.61 0 
  1385.48 3.4693e-14   1435.49 0 
  1395.08 2.9760e-14   1445.44 0 
  1404.75 3.0977e-14   1455.46 0 
  1414.49 3.1291e-14   1465.55 0 
  1424.29 3.2795e-14   1475.71 0 
  1434.16 3.2299e-14   1485.94 0 
  1440.79 3.4576e-14   1492.79 0 
  1447.44 3.5347e-14   1499.69 0 
  1454.12 3.3879e-14   1506.61 0 
  1464.20 3.0570e-14   1517.05 0 
  1474.35 3.0666e-14   1527.57 0 
  1484.56 3.1551e-14   1538.15 0 
  1494.86 3.2238e-14   1548.82 0 
  1505.22 2.9972e-14   1559.55 0 
  1512.16 2.5839e-14   1566.75 0 
  1515.65 2.8317e-14   1570.36 0 
  1526.16 2.7001e-14   1581.25 0 
  1536.74 2.2684e-14   1592.21 0 
  1543.83 2.5779e-14   1599.56 0 
  1554.53 2.4187e-14   1610.65 0 
  1565.31 2.4541e-14   1621.81 0 
  1576.16 2.6194e-14   1633.05 0 
  1583.43 2.7909e-14   1640.59 0 
  1594.41 2.8317e-14   1651.96 0 
  1605.46 2.7947e-14   1663.41 0 
  1616.59 2.8224e-14   1674.94 0 
  1624.05 2.6311e-14   1682.67 0 
  1635.31 2.8407e-14   1694.34 0 
  1646.64 2.8754e-14   1706.08 0 
  1654.24 2.6315e-14   1713.96 0 
  1665.71 2.9005e-14   1725.84 0 
  1673.40 2.5233e-14   1733.80 0 
  1677.26 2.8756e-14   1737.80 0 
  1685.00 3.0495e-14   1745.82 0 
  1696.68 2.8410e-14   1757.92 0 
  1704.51 2.6975e-14   1766.04 0 
  1716.32 2.4900e-14   1778.28 0 
  1724.25 2.4757e-14   1786.49 0 
  1736.20 2.6663e-14   1798.87 0 
  1744.21 2.5965e-14   1807.17 0 
  1756.30 2.7965e-14   1819.70 0 
  1764.41 2.5298e-14   1828.10 0 
  1776.64 2.5721e-14   1840.77 0 
  1784.84 2.6409e-14   1849.27 0 
  1793.08 2.8459e-14   1857.80 0 
  1805.51 2.8340e-14   1870.68 0 
  1813.84 2.5402e-14   1879.32 0 
  1826.41 2.6184e-14   1892.34 0 
  1834.84 2.4974e-14   1901.08 0 
  1843.31 2.2591e-14   1909.85 0 
  1856.09 2.2289e-14   1923.09 0 
  1864.66 2.3042e-14   1931.97 0 
  1873.27 2.5761e-14   1940.89 0 
  1886.25 2.3126e-14   1954.34 0 
  1894.96 2.1905e-14   1963.36 0 
  1903.70 2.3657e-14   1972.42 0 
  1916.90 2.2289e-14   1986.10 0 
  1925.75 2.1953e-14   1995.26 0 
  1934.64 2.3063e-14   2004.47 0 
  1943.56 2.3622e-14   2013.72 0 
  1957.04 2.1798e-14   2027.68 0 
  1966.07 2.4368e-14   2037.04 0 
  1975.15 2.5190e-14   2046.45 0 
  1984.26 2.3422e-14   2055.89 0 
  1993.42 2.2595e-14   2065.38 0 
  2007.24 2.3609e-14   2079.70 0 
  2016.50 2.2411e-14   2089.30 0 
  2025.81 2.3924e-14   2098.94 0 
  2035.16 2.2091e-14   2108.63 0 
  2044.56 2.3099e-14   2118.36 0 
  2053.99 2.1926e-14   2128.14 0 
  2063.47 2.1995e-14   2137.96 0 
  2073.00 2.3642e-14   2147.83 0 
  2077.78 2.1845e-14   2152.78 0 
  2087.37 2.2893e-14   2162.72 0 
  2097.00 2.1432e-14   2172.70 0 
  2106.68 2.1697e-14   2182.73 0 
  2116.41 2.1865e-14   2192.81 0 
  2126.18 2.2186e-14   2202.93 0 
  2135.99 2.0532e-14   2213.09 0 
  2145.85 2.0833e-14   2223.31 0 
  2155.75 2.1831e-14   2233.57 0 
  2165.70 2.1155e-14   2243.88 0 
  2175.70 2.0880e-14   2254.24 0 
  2185.74 2.0139e-14   2264.64 0 
  2195.83 2.1201e-14   2275.10 0 
  2205.97 2.0543e-14   2285.60 0 
  2216.15 1.9542e-14   2296.15 0 
  2226.38 1.8667e-14   2306.75 0 
  2236.66 1.9829e-14   2317.39 0 
  2246.98 1.8936e-14   2328.09 0 
  2257.35 1.8125e-14   2338.84 0 
  2262.55 1.8718e-14   2344.23 0 
  2273.00 1.9153e-14   2355.05 0 
  2283.49 1.9554e-14   2365.92 0 
  2294.03 1.8459e-14   2376.84 0 
  2304.62 1.8247e-14   2387.81 0 
  2315.26 1.7265e-14   2398.83 0 
  2325.94 1.3066e-14   2409.91 0 
  2336.68 1.6075e-14   2421.03 0 
  2347.46 1.5853e-14   2432.20 0 
  2352.88 1.6792e-14   2437.81 0 
  2363.74 1.5599e-14   2449.06 0 
  2374.65 1.5925e-14   2460.37 0 
  2385.61 1.4999e-14   2471.72 0 
  2396.62 1.6034e-14   2483.13 0 
  2407.68 1.5241e-14   2494.60 0 
  2413.23 1.5596e-14   2500.35 0 
  2424.37 1.6217e-14   2511.89 0 
  2435.56 1.5487e-14   2523.48 0 
  2446.80 1.6403e-14   2535.13 0 
  2452.44 1.6066e-14   2540.97 0 
  2463.76 1.5992e-14   2552.70 0 
  2475.14 1.5412e-14   2564.48 0 
  2486.56 1.6064e-14   2576.32 0 
  2492.29 1.4991e-14   2582.26 0 
  2503.80 1.6437e-14   2594.18 0 
  2515.35 1.4955e-14   2606.15 0 
  2526.96 1.4817e-14   2618.18 0 
  2532.79 1.4919e-14   2624.22 0 
  2544.48 1.4478e-14   2636.33 0 
  2556.23 1.5300e-14   2648.50 0 
  2562.12 1.5020e-14   2654.61 0 
  2573.95 1.5836e-14   2666.86 0 
  2585.83 1.5654e-14   2679.17 0 
  2597.76 1.5509e-14   2691.54 0 
  2603.75 1.4982e-14   2697.74 0 
  2615.77 1.4844e-14   2710.19 0 
  2627.84 1.5258e-14   2722.70 0 
  2633.90 1.5328e-14   2728.98 0 
  2646.06 1.6198e-14   2741.57 0 
  2652.16 1.6123e-14   2747.89 0 
  2664.40 1.5011e-14   2760.58 0 
  2676.70 1.5609e-14   2773.32 0 
  2682.87 1.5359e-14   2779.71 0 
  2695.25 1.4905e-14   2792.54 0 
  2707.69 1.5076e-14   2805.43 0 
  2713.93 1.4597e-14   2811.90 0 
  2726.46 1.4663e-14   2824.88 0 
  2732.74 1.5248e-14   2831.39 0 
  2745.36 1.3683e-14   2844.46 0 
  2758.03 1.3713e-14   2857.59 0 
  2764.39 1.4000e-14   2864.18 0 
  2777.15 1.4557e-14   2877.40 0 
  2783.55 1.4291e-14   2884.03 0 
  2796.40 1.2051e-14   2897.34 0 
  2802.85 1.2853e-14   2904.02 0 
  2815.78 1.4453e-14   2917.43 0 
  2822.27 1.4620e-14   2924.15 0 
  2835.30 1.3864e-14   2937.65 0 
  2841.84 1.3673e-14   2944.42 0 
  2854.95 1.3609e-14   2958.01 0 
  2868.13 1.4184e-14   2971.67 0 
  2874.74 1.3892e-14   2978.52 0 
  2888.01 1.3922e-14   2992.27 0 
  2894.67 1.3668e-14   2999.16 0 
  2908.03 1.4277e-14   3013.01 0 
  2928.19 1.3918e-14   3033.89 0 
  2948.49 1.3693e-14   3054.92 0 
  2968.92 1.3691e-14   3076.10 0 
  2989.50 1.3625e-14   3097.42 0 
  3010.23 1.3654e-14   3118.89 0 
  3031.09 1.3527e-14   3140.51 0 
  3052.10 1.3338e-14   3162.28 0 
  3073.26 1.3183e-14   3184.20 0 
  3087.45 1.3151e-14   3198.90 0 
  3108.85 1.2879e-14   3221.07 0 
  3130.39 1.2729e-14   3243.40 0 
  3152.09 1.2697e-14   3265.88 0 
  3166.64 1.2492e-14   3280.95 0 
  3188.59 1.2093e-14   3303.70 0 
  3210.70 1.2230e-14   3326.60 0 
  3232.95 1.1976e-14   3349.66 0 
  3247.87 1.1975e-14   3365.12 0 
  3270.39 1.1944e-14   3388.44 0 
  3293.06 1.1859e-14   3411.93 0 
  3308.26 1.1775e-14   3427.68 0 
  3323.53 1.1800e-14   3443.50 0 
  3331.19 1.1772e-14   3451.44 0 
  3338.87 1.1346e-14   3459.39 0 
  3346.56 1.1555e-14   3467.37 0 
  3354.28 1.1240e-14   3475.36 0 
  3362.01 1.1290e-14   3483.37 0 
  3369.76 1.1212e-14   3491.40 0 
  3377.53 1.1057e-14   3499.45 0 
  3385.32 1.1444e-14   3507.52 0 
  3393.12 1.1523e-14   3515.60 0 
  3400.94 1.1736e-14   3523.71 0 
