# An Atlas of Galaxy Spectral Energy Distributions from the Ultraviolet to the Mid-Infrared
# Brown et al. (2014)
# http://dx.doi.org/10.5072/03/529D3551F0117
# 
# Column 1 : Restframe Wavelength (Angstrom)
# Column 2 : Flux per unit wavelength (ergs/s/cm^2/Angstrom)
# Column 3 : Observed wavelength (Angstrom)
# Column 4 : Source (0 = model, 1 = Optical Spectrum, 2 = Akari, 3 = Spitzer IRS)
# 
   102.05 7.9199e-35    106.41 0 
   103.94 1.4646e-34    108.39 0 
   106.12 2.7398e-34    110.66 0 
   108.09 5.1608e-34    112.72 0 
   110.10 1.1110e-33    114.82 0 
   113.97 3.3092e-33    118.85 0 
   117.98 8.9067e-33    123.03 0 
   121.00 5.1253e-32    126.18 0 
   124.97 1.2266e-31    130.32 0 
   127.00 1.8227e-31    132.43 0 
   127.88 2.2528e-31    133.35 0 
   130.86 3.9420e-31    136.46 0 
   132.07 5.3176e-31    137.72 0 
   133.90 7.5460e-31    139.64 0 
   137.02 1.4346e-30    142.89 0 
   139.89 2.3535e-30    145.88 0 
   143.15 8.2931e-30    149.28 0 
   147.16 3.0180e-29    153.46 0 
   150.94 5.3054e-29    157.40 0 
   155.17 9.2410e-29    161.81 0 
   159.15 1.5839e-28    165.96 0 
   162.10 2.3266e-28    169.04 0 
   165.88 3.8612e-28    172.98 0 
   170.14 6.1619e-28    177.42 0 
   172.90 8.7040e-28    180.30 0 
   176.93 1.3481e-27    184.50 0 
   179.80 1.8481e-27    187.50 0 
   181.88 2.2736e-27    189.67 0 
   186.12 3.3940e-27    194.09 0 
   190.90 5.4918e-27    199.07 0 
   194.00 7.3066e-27    202.30 0 
   198.06 1.0440e-26    206.54 0 
   202.21 1.4816e-26    210.86 0 
   205.02 1.9086e-26    213.80 0 
   209.79 2.7524e-26    218.78 0 
   216.17 4.5679e-26    225.42 0 
   220.19 6.1904e-26    229.61 0 
   223.25 7.6158e-26    232.81 0 
   226.88 1.0179e-25    236.59 0 
   230.04 1.8438e-25    239.88 0 
   233.77 3.6452e-25    243.78 0 
   239.77 6.4079e-25    250.03 0 
   245.92 8.3506e-25    256.45 0 
   252.23 1.2070e-24    263.03 0 
   256.92 1.2874e-24    267.92 0 
   259.89 1.7407e-24    271.02 0 
   264.12 2.2066e-24    275.42 0 
   269.03 2.7715e-24    280.54 0 
