# An Atlas of Galaxy Spectral Energy Distributions from the Ultraviolet to the Mid-Infrared
# Brown et al. (2014)
# http://dx.doi.org/10.5072/03/529D3551F0117
# 
# Column 1 : Restframe Wavelength (Angstrom)
# Column 2 : Flux per unit wavelength (ergs/s/cm^2/Angstrom)
# Column 3 : Observed wavelength (Angstrom)
# Column 4 : Source (0 = model, 1 = Optical Spectrum, 2 = Akari, 3 = Spitzer IRS)
# 
   100.03 6.0919e-38    101.86 0 
   101.89 7.6340e-38    103.75 0 
   104.02 8.8054e-38    105.93 0 
   105.96 1.0345e-37    107.89 0 
   107.93 1.2438e-37    109.90 0 
   109.93 1.6740e-37    111.94 0 
   114.06 2.1765e-37    116.14 0 
   118.07 2.6900e-37    120.23 0 
   121.09 8.5065e-37    123.31 0 
   125.06 9.9026e-37    127.35 0 
   127.09 1.0441e-36    129.42 0 
   127.98 1.0883e-36    130.32 0 
   130.96 1.1555e-36    133.35 0 
   131.86 1.3266e-36    134.28 0 
   134.01 1.3764e-36    136.46 0 
   137.13 1.6663e-36    139.64 0 
   140.00 1.7896e-36    142.56 0 
   142.93 4.2929e-36    145.55 0 
   146.94 9.3919e-36    149.62 0 
   151.05 1.6284e-35    153.82 0 
   154.93 5.2330e-35    157.76 0 
   158.90 2.0312e-34    161.81 0 
   161.85 5.6853e-34    164.82 0 
   166.01 2.1715e-33    169.04 0 
   169.87 7.7224e-33    172.98 0 
   173.03 1.6321e-32    176.20 0 
   177.06 6.1341e-32    180.30 0 
   179.94 1.4117e-31    183.23 0 
   182.02 2.4141e-31    185.35 0 
   185.83 6.7881e-31    189.23 0 
   191.04 2.3054e-30    194.54 0 
   194.14 4.6639e-30    197.70 0 
   198.21 1.1370e-29    201.84 0 
   201.90 2.6838e-29    205.59 0 
   205.18 4.9631e-29    208.93 0 
   209.95 1.2816e-28    213.80 0 
   215.84 4.0064e-28    219.79 0 
   219.85 8.1050e-28    223.87 0 
   222.91 1.3297e-27    226.99 0 
   227.05 2.5927e-27    231.21 0 
   230.21 1.0110e-23    234.42 0 
   233.95 1.6895e-23    238.23 0 
   239.95 2.4817e-23    244.34 0 
   246.11 3.0113e-23    250.61 0 
   251.84 3.8793e-23    256.45 0 
   257.11 3.9423e-23    261.82 0 
   260.09 4.8837e-23    264.85 0 
   263.71 5.7776e-23    268.53 0 
   269.23 6.6642e-23    274.16 0 
   274.24 7.7580e-23    279.25 0 
   278.69 9.0313e-23    283.79 0 
   283.87 1.0783e-22    289.07 0 
   289.82 1.2582e-22    295.12 0 
   295.89 1.5408e-22    301.30 0 
   300.69 1.8020e-22    306.20 0 
   307.70 2.3700e-22    313.33 0 
   317.78 3.5217e-22    323.59 0 
   328.19 5.4419e-22    334.19 0 
   338.16 8.4091e-22    344.35 0 
   347.64 1.3054e-21    354.00 0 
   357.38 2.7274e-21    363.92 0 
   365.70 6.1766e-21    372.39 0 
   375.08 9.2417e-21    381.94 0 
   384.70 1.2409e-20    391.74 0 
   394.57 2.8691e-20    401.79 0 
   404.69 5.2572e-20    412.10 0 
   414.12 7.5814e-20    421.70 0 
   421.82 9.4352e-20    429.54 0 
   429.66 1.2267e-19    437.52 0 
   440.68 2.0642e-19    448.75 0 
   450.95 2.8824e-19    459.20 0 
   460.39 3.3787e-19    468.81 0 
   470.03 4.6747e-19    478.63 0 
   479.87 6.9463e-19    488.65 0 
   489.92 7.8118e-19    498.88 0 
   500.18 1.2239e-18    509.33 0 
   505.97 1.7529e-18    515.23 0 
   511.83 7.7580e-18    521.19 0 
   520.15 8.5458e-18    529.66 0 
   529.82 9.4788e-18    539.51 0 
   539.67 9.2204e-18    549.54 0 
   549.70 1.4215e-17    559.76 0 
   559.92 1.8696e-17    570.16 0 
   570.33 2.2896e-17    580.76 0 
   579.60 2.3001e-17    590.20 0 
   590.37 2.9631e-17    601.17 0 
   599.97 3.0743e-17    610.94 0 
   609.71 3.7132e-17    620.87 0 
   619.62 4.5999e-17    630.96 0 
   629.69 5.0437e-17    641.21 0 
   639.92 5.4923e-17    651.63 0 
   650.32 6.2625e-17    662.22 0 
   657.85 6.6489e-17    669.88 0 
   665.47 7.4602e-17    677.64 0 
   674.72 7.9938e-17    687.07 0 
   685.69 7.7759e-17    698.23 0 
   695.23 1.0345e-16    707.95 0 
   704.90 9.5225e-17    717.79 0 
   716.35 1.2495e-16    729.46 0 
   726.32 1.3420e-16    739.61 0 
   734.73 1.4281e-16    748.17 0 
   744.95 1.5767e-16    758.58 0 
   755.31 1.7012e-16    769.13 0 
   765.82 1.7368e-16    779.83 0 
   774.69 1.9941e-16    788.86 0 
   785.46 2.0642e-16    799.83 0 
   794.56 2.2738e-16    809.10 0 
   805.61 2.4364e-16    820.35 0 
   814.94 2.5748e-16    829.85 0 
   824.38 2.8233e-16    839.46 0 
   835.85 2.3054e-16    851.14 0 
   845.52 3.0532e-16    860.99 0 
   855.31 3.1605e-16    870.96 0 
   865.22 3.4574e-16    881.05 0 
   875.24 3.6962e-16    891.25 0 
   885.37 3.9788e-16    901.57 0 
   895.62 4.2145e-16    912.01 0 
   906.00 4.2634e-16    922.57 0 
   914.38 5.4923e-16    931.11 0 
   924.97 2.9427e-15    941.89 0 
   935.68 6.2338e-15    952.80 0 
   944.33 1.1635e-14    961.61 0 
   955.27 1.6548e-14    972.75 0 
   964.11 1.7937e-14    981.75 0 
   975.27 2.9974e-15    993.12 0 
   984.30 1.3924e-14   1002.31 0 
   995.69 1.5302e-14   1013.91 0 
  1004.91 2.3321e-14   1023.29 0 
  1014.21 2.2843e-14   1032.76 0 
  1025.95 1.0345e-14   1044.72 0 
  1035.44 1.5479e-14   1054.39 0 
  1045.02 3.0391e-14   1064.14 0 
  1054.69 2.9563e-14   1073.99 0 
  1064.45 2.2529e-14   1083.93 0 
  1074.30 2.7211e-14   1093.96 0 
  1084.24 2.0881e-14   1104.08 0 
  1094.27 2.8560e-14   1114.29 0 
  1104.40 2.7024e-14   1124.61 0 
  1114.62 2.5454e-14   1135.01 0 
  1124.93 2.2323e-14   1145.51 0 
  1135.34 2.9360e-14   1156.11 0 
  1145.84 2.6470e-14   1166.81 0 
  1153.79 2.8168e-14   1174.90 0 
  1164.46 2.8758e-14   1185.77 0 
  1175.24 1.8869e-14   1196.74 0 
  1186.11 2.7909e-14   1207.81 0 
  1194.33 1.9044e-14   1216.19 0 
  1205.39 1.3389e-14   1227.44 0 
  1213.74 1.0040e-14   1235.95 0 
  1224.97 1.9487e-14   1247.38 0 
  1236.31 2.9158e-14   1258.93 0 
  1244.88 3.1315e-14   1267.65 0 
  1256.39 2.9427e-14   1279.38 0 
  1265.10 2.5512e-14   1288.25 0 
  1273.87 3.2341e-14   1297.18 0 
  1285.66 3.3400e-14   1309.18 0 
  1294.57 2.5337e-14   1318.26 0 
  1303.54 2.5630e-14   1327.39 0 
  1315.61 3.2192e-14   1339.68 0 
  1324.73 3.0182e-14   1348.96 0 
  1333.91 2.6470e-14   1358.31 0 
  1346.25 3.1605e-14   1370.88 0 
  1355.58 3.0532e-14   1380.38 0 
  1364.98 2.6962e-14   1389.95 0 
  1374.44 2.7974e-14   1399.59 0 
  1383.97 2.8168e-14   1409.29 0 
  1393.56 2.3161e-14   1419.06 0 
  1406.46 2.3975e-14   1432.19 0 
  1416.20 2.5571e-14   1442.12 0 
  1426.02 2.6047e-14   1452.11 0 
  1435.91 2.6227e-14   1462.18 0 
  1442.53 2.7400e-14   1468.93 0 
  1445.86 2.7527e-14   1472.31 0 
  1455.88 2.6592e-14   1482.52 0 
  1465.97 2.4420e-14   1492.79 0 
  1476.13 2.4590e-14   1503.14 0 
  1486.37 2.4874e-14   1513.56 0 
  1496.67 2.4989e-14   1524.05 0 
  1503.58 2.3268e-14   1531.09 0 
  1510.52 2.0595e-14   1538.15 0 
  1517.49 2.2017e-14   1545.25 0 
  1524.49 2.1615e-14   1552.39 0 
  1535.06 1.8440e-14   1563.15 0 
  1545.70 1.9220e-14   1573.98 0 
  1556.42 1.8482e-14   1584.89 0 
  1563.60 1.9398e-14   1592.21 0 
  1574.44 2.0595e-14   1603.25 0 
  1585.35 2.1466e-14   1614.36 0 
  1596.34 2.1615e-14   1625.55 0 
  1603.71 2.1367e-14   1633.05 0 
  1614.83 2.1417e-14   1644.37 0 
  1626.02 2.0453e-14   1655.77 0 
  1633.53 2.1765e-14   1663.41 0 
  1644.85 2.1915e-14   1674.94 0 
  1656.25 2.0642e-14   1686.55 0 
  1663.90 2.2118e-14   1694.34 0 
  1671.58 2.0265e-14   1702.16 0 
  1675.43 2.2272e-14   1706.08 0 
  1683.16 2.2843e-14   1713.96 0 
  1694.83 2.1515e-14   1725.84 0 
  1706.58 2.0690e-14   1737.80 0 
  1714.45 1.9309e-14   1745.82 0 
  1726.34 1.9132e-14   1757.92 0 
