# An Atlas of Galaxy Spectral Energy Distributions from the Ultraviolet to the Mid-Infrared
# Brown et al. (2014)
# http://dx.doi.org/10.5072/03/529D3551F0117
# 
# Column 1 : Restframe Wavelength (Angstrom)
# Column 2 : Flux per unit wavelength (ergs/s/cm^2/Angstrom)
# Column 3 : Observed wavelength (Angstrom)
# Column 4 : Source (0 = model, 1 = Optical Spectrum, 2 = Akari, 3 = Spitzer IRS)
# 
   102.05 2.1555e-18    102.33 0 
   103.95 2.5442e-18    104.23 0 
   105.88 3.0658e-18    106.17 0 
   108.10 3.7805e-18    108.39 0 
   110.11 5.2790e-18    110.41 0 
   113.98 7.1211e-18    114.29 0 
   117.99 9.0688e-18    118.30 0 
   121.01 3.1956e-17    121.34 0 
   124.98 3.8331e-17    125.31 0 
   127.01 4.0696e-17    127.35 0 
   127.89 4.2712e-17    128.23 0 
   130.87 4.6297e-17    131.22 0 
   132.08 5.4019e-17    132.43 0 
   133.92 5.6435e-17    134.28 0 
   137.04 6.9590e-17    137.40 0 
   139.90 7.4396e-17    140.28 0 
   143.16 1.9300e-16    143.55 0 
   146.84 4.6617e-16    147.23 0 
   150.95 4.8927e-16    151.36 0 
   154.82 5.2065e-16    155.24 0 
   159.16 5.5789e-16    159.59 0 
   162.12 5.8284e-16    162.55 0 
   165.89 6.2596e-16    166.34 0 
   170.15 6.5546e-16    170.61 0 
   172.91 6.8478e-16    173.38 0 
   176.94 7.1540e-16    177.42 0 
   179.82 7.3884e-16    180.30 0 
   181.90 7.5605e-16    182.39 0 
   186.14 7.8804e-16    186.64 0 
   190.91 8.2708e-16    191.43 0 
   194.01 8.5812e-16    194.54 0 
   198.08 8.8623e-16    198.61 0 
   202.22 9.2161e-16    202.77 0 
   205.04 9.4743e-16    205.59 0 
   209.81 9.4308e-16    210.38 0 
   216.19 1.0317e-15    216.77 0 
   220.21 1.0679e-15    220.80 0 
   222.76 1.0778e-15    223.36 0 
   226.90 1.1183e-15    227.51 0 
   230.06 1.7161e-15    230.67 0 
   233.79 2.7324e-15    234.42 0 
   239.79 3.3155e-15    240.44 0 
   245.94 3.0800e-15    246.60 0 
   252.25 3.2251e-15    252.93 0 
   256.94 2.6887e-15    257.63 0 
   259.92 3.0729e-15    260.62 0 
   264.14 3.1956e-15    264.85 0 
   269.05 3.1517e-15    269.77 0 
   274.05 3.0942e-15    274.79 0 
   279.15 3.0377e-15    279.90 0 
   283.68 3.0030e-15    284.45 0 
   290.29 2.8219e-15    291.07 0 
   295.69 2.8155e-15    296.48 0 
   301.18 2.7324e-15    302.00 0 
   308.20 2.7074e-15    309.03 0 
   318.30 2.6764e-15    319.15 0 
   327.97 2.5915e-15    328.85 0 
   337.93 2.4920e-15    338.84 0 
   348.20 2.3908e-15    349.14 0 
   357.13 2.3257e-15    358.10 0 
   366.30 2.2885e-15    367.28 0 
   374.83 2.2108e-15    375.84 0 
   385.33 2.0538e-15    386.37 0 
   395.21 2.0585e-15    396.28 0 
   405.35 2.0116e-15    406.44 0 
   413.84 1.9389e-15    414.95 0 
   421.53 1.8602e-15    422.67 0 
   430.36 1.7970e-15    431.52 0 
   441.40 1.7480e-15    442.59 0 
