# An Atlas of Galaxy Spectral Energy Distributions from the Ultraviolet to the Mid-Infrared
# Brown et al. (2014)
# http://dx.doi.org/10.5072/03/529D3551F0117
# 
# Column 1 : Restframe Wavelength (Angstrom)
# Column 2 : Flux per unit wavelength (ergs/s/cm^2/Angstrom)
# Column 3 : Observed wavelength (Angstrom)
# Column 4 : Source (0 = model, 1 = Optical Spectrum, 2 = Akari, 3 = Spitzer IRS)
# 
   101.98 3.3794e-22    104.23 0 
   104.12 4.4447e-22    106.41 0 
   106.05 5.9271e-22    108.39 0 
   108.03 8.0694e-22    110.41 0 
   110.03 1.2214e-21    112.46 0 
   113.90 1.9808e-21    116.41 0 
   117.90 3.0188e-21    120.50 0 
   120.93 1.1991e-20    123.59 0 
   124.89 1.6705e-20    127.64 0 
   126.92 1.9092e-20    129.72 0 
   128.09 2.0742e-20    130.92 0 
   131.08 2.4822e-20    133.97 0 
   131.99 3.0119e-20    134.90 0 
   134.13 3.3639e-20    137.09 0 
   136.94 4.5692e-20    139.96 0 
   140.13 5.3437e-20    143.22 0 
   143.06 1.6362e-19    146.22 0 
   147.07 4.6542e-19    150.31 0 
   150.84 5.3683e-19    154.17 0 
   155.07 6.2494e-19    158.49 0 
   159.05 7.2751e-19    162.55 0 
   162.00 8.0694e-19    165.58 0 
   166.16 9.4154e-19    169.82 0 
   170.03 1.0662e-18    173.78 0 
   173.19 1.1772e-18    177.01 0 
   176.82 1.3239e-18    180.72 0 
   180.11 1.4416e-18    184.08 0 
   182.19 1.5305e-18    186.21 0 
   186.01 1.7055e-18    190.11 0 
   191.22 1.9446e-18    195.43 0 
   193.88 2.1176e-18    198.15 0 
   197.94 2.3272e-18    202.30 0 
   202.08 2.5695e-18    206.54 0 
   204.89 2.7532e-18    209.41 0 
   210.15 2.9366e-18    214.78 0 
   216.04 3.4901e-18    220.80 0 
   220.05 3.8005e-18    224.91 0 
   223.11 3.9888e-18    228.03 0 
   226.74 4.3435e-18    231.74 0 
   229.89 6.8366e-18    234.96 0 
   234.17 1.2102e-17    239.33 0 
   240.18 1.5554e-17    245.47 0 
   245.77 1.5447e-17    251.19 0 
   252.07 1.7055e-17    257.63 0 
   256.76 1.4991e-17    262.42 0 
   259.73 1.7492e-17    265.46 0 
   263.95 1.8786e-17    269.77 0 
   268.86 1.9357e-17    274.79 0 
   273.86 1.9854e-17    279.90 0 
   278.95 2.0363e-17    285.10 0 
   284.14 2.0885e-17    290.40 0 
   290.09 2.0504e-17    296.48 0 
   296.16 2.1470e-17    302.69 0 
   300.97 2.1819e-17    307.61 0 
   307.98 2.2690e-17    314.77 0 
   318.07 2.3980e-17    325.09 0 
   327.74 2.4822e-17    334.97 0 
   337.70 2.5400e-17    345.14 0 
   347.96 2.5873e-17    355.63 0 
   356.89 2.6293e-17    364.75 0 
   366.04 2.6782e-17    374.11 0 
   375.43 2.7030e-17    383.71 0 
   385.06 2.6536e-17    393.55 0 
   394.94 2.7532e-17    403.65 0 
   405.07 2.7915e-17    414.00 0 
   413.55 2.7915e-17    422.67 0 
   422.21 2.7851e-17    431.52 0 
   430.06 2.7787e-17    439.54 0 
   441.09 2.7915e-17    450.82 0 
   451.37 2.7723e-17    461.32 0 
   459.76 2.7596e-17    469.89 0 
   470.47 2.7469e-17    480.84 0 
   480.32 2.7469e-17    490.91 0 
   490.38 2.6967e-17    501.19 0 
   499.49 2.7092e-17    510.50 0 
   506.44 2.6782e-17    517.61 0 
   512.30 2.7596e-17    523.60 0 
   519.43 2.7469e-17    530.88 0 
   530.31 2.7092e-17    542.00 0 
   540.17 2.6414e-17    552.08 0 
   550.21 2.6354e-17    562.34 0 
   560.44 2.6659e-17    572.80 0 
   569.55 2.6967e-17    582.10 0 
