# An Atlas of Galaxy Spectral Energy Distributions from the Ultraviolet to the Mid-Infrared
# Brown et al. (2014)
# http://dx.doi.org/10.5072/03/529D3551F0117
# 
# Column 1 : Restframe Wavelength (Angstrom)
# Column 2 : Flux per unit wavelength (ergs/s/cm^2/Angstrom)
# Column 3 : Observed wavelength (Angstrom)
# Column 4 : Source (0 = model, 1 = Optical Spectrum, 2 = Akari, 3 = Spitzer IRS)
# 
   100.01 2.0228e-26    100.23 0 
   102.10 2.9171e-26    102.33 0 
   104.00 3.9715e-26    104.23 0 
   105.93 5.4696e-26    106.17 0 
   107.90 7.5328e-26    108.14 0 
   109.91 1.1775e-25    110.15 0 
   114.03 2.0604e-25    114.29 0 
   118.04 3.4037e-25    118.30 0 
   121.07 7.8516e-25    121.34 0 
   125.04 1.2559e-24    125.31 0 
   127.07 1.5702e-24    127.35 0 
   127.95 1.7537e-24    128.23 0 
   130.93 2.3931e-24    131.22 0 
   132.14 2.7540e-24    132.43 0 
   133.98 3.3570e-24    134.28 0 
   137.10 4.6340e-24    137.40 0 
   139.97 6.1088e-24    140.28 0 
   142.90 9.5710e-24    143.22 0 
   146.91 1.5204e-23    147.23 0 
   151.02 2.0987e-23    151.36 0 
   154.90 2.8771e-23    155.24 0 
   158.87 3.8722e-23    159.22 0 
   161.82 4.8079e-23    162.18 0 
   165.97 6.3381e-23    166.34 0 
   169.84 8.2216e-23    170.22 0 
   173.00 9.9531e-23    173.38 0 
   177.03 1.2704e-22    177.42 0 
   179.90 1.5134e-22    180.30 0 
   181.99 1.6981e-22    182.39 0 
   185.80 2.1182e-22    186.21 0 
   191.00 2.7540e-22    191.43 0 
   194.11 3.2133e-22    194.54 0 
   198.17 3.9080e-22    198.61 0 
   201.85 4.7202e-22    202.30 0 
   205.13 5.4070e-22    205.59 0 
   209.91 6.6368e-22    210.38 0 
   215.79 8.6488e-22    216.27 0 
   219.81 1.0138e-21    220.29 0 
   222.86 1.1375e-21    223.36 0 
   227.01 1.3242e-21    227.51 0 
   230.16 4.2556e-21    230.67 0 
   233.90 6.2224e-21    234.42 0 
   239.90 8.2406e-21    240.44 0 
   246.06 9.2674e-21    246.60 0 
   251.79 1.0813e-20    252.35 0 
   257.06 1.0519e-20    257.63 0 
   260.04 1.2473e-20    260.62 0 
   264.26 1.3898e-20    264.85 0 
   269.18 1.5204e-20    269.77 0 
   274.18 1.6594e-20    274.79 0 
   279.28 1.7904e-20    279.90 0 
   283.82 1.9541e-20    284.45 0 
   289.76 2.0939e-20    290.40 0 
   295.83 2.2959e-20    296.48 0 
   301.33 2.3494e-20    302.00 0 
   308.35 2.6421e-20    309.03 0 
   317.72 3.1186e-20    318.42 0 
   328.12 3.5315e-20    328.85 0 
   338.09 3.9715e-20    338.84 0 
   348.37 4.4561e-20    349.14 0 
   357.30 5.0345e-20    358.10 0 
   365.63 5.7671e-20    366.44 0 
   375.01 6.3967e-20    375.84 0 
   384.63 7.1938e-20    385.48 0 
   395.40 8.5695e-20    396.28 0 
   404.61 9.9990e-20    405.51 0 
   414.04 1.1587e-19    414.95 0 
   421.73 1.3000e-19    422.67 0 
   429.57 1.4824e-19    430.53 0 
   440.59 1.8237e-19    441.57 0 
   450.86 2.1825e-19    451.86 0 
   460.30 2.5349e-19    461.32 0 
   469.94 3.0900e-19    470.98 0 
   479.78 3.7580e-19    480.84 0 
   489.82 4.5077e-19    490.91 0 
   500.08 5.5713e-19    501.19 0 
   505.87 2.2906e-18    506.99 0 
   511.73 8.3552e-18    512.86 0 
   520.04 8.6488e-18    521.19 0 
   529.71 9.1824e-18    530.88 0 
   539.56 8.9941e-18    540.75 0 
   549.59 1.1560e-17    550.81 0 
   559.81 1.4027e-17    561.05 0 
   570.21 1.5811e-17    571.48 0 
   579.48 1.5702e-17    580.76 0 
   590.25 1.8576e-17    591.56 0 
   599.84 1.9273e-17    601.17 0 
   609.59 2.2334e-17    610.94 0 
   619.49 2.5880e-17    620.87 0 
   629.56 2.7923e-17    630.96 0 
   639.79 2.9577e-17    641.21 0 
   650.19 3.2731e-17    651.63 0 
   657.72 3.4591e-17    659.17 0 
   665.33 3.7235e-17    666.81 0 
   674.59 3.9624e-17    676.08 0 
   685.55 4.0268e-17    687.07 0 
   695.08 4.7858e-17    696.63 0 
   704.75 4.7419e-17    706.32 0 
   716.21 5.6229e-17    717.79 0 
   726.17 5.9423e-17    727.78 0 
   734.58 6.2944e-17    736.21 0 
   744.80 6.8542e-17    746.45 0 
   755.16 7.2939e-17    756.83 0 
   765.66 7.7617e-17    767.36 0 
   774.53 8.3552e-17    776.25 0 
   785.30 9.0564e-17    787.05 0 
   794.40 9.5490e-17    796.16 0 
   805.45 1.0045e-16    807.24 0 
   814.78 1.0543e-16    816.58 0 
   824.21 1.1401e-16    826.04 0 
   835.68 1.0739e-16    837.53 0 
   845.35 1.2444e-16    847.23 0 
   855.14 1.3091e-16    857.04 0 
   865.04 1.3962e-16    866.96 0 
   875.06 1.4824e-16    877.00 0 
   885.19 1.5775e-16    887.16 0 
   895.44 1.6632e-16    897.43 0 
   905.81 1.7217e-16    907.82 0 
   914.19 2.4320e-16    916.22 0 
   924.78 1.3771e-15    926.83 0 
   935.49 2.8246e-15    937.56 0 
   944.14 5.4195e-15    946.24 0 
   955.08 6.9176e-15    957.19 0 
   963.91 8.4910e-15    966.05 0 
   975.07 2.8442e-15    977.24 0 
   984.10 8.8707e-15    986.28 0 
   995.49 8.6289e-15    997.70 0 
  1004.70 9.9760e-15   1006.93 0 
  1014.00 9.4180e-15   1016.25 0 
  1025.74 4.5285e-15   1028.02 0 
  1035.23 8.3360e-15   1037.53 0 
  1044.81 1.1560e-14   1047.13 0 
  1054.48 1.1401e-14   1056.82 0 
  1064.24 1.0303e-14   1066.60 0 
  1074.08 1.1271e-14   1076.47 0 
  1084.02 1.0232e-14   1086.43 0 
  1094.05 1.1640e-14   1096.48 0 
  1104.17 1.1219e-14   1106.62 0 
  1114.39 1.1245e-14   1116.86 0 
  1124.70 1.0422e-14   1127.20 0 
  1135.11 1.1560e-14   1137.63 0 
  1145.61 1.0989e-14   1148.15 0 
  1156.21 1.1349e-14   1158.78 0 
  1164.23 1.1507e-14   1166.81 0 
  1175.00 9.2036e-15   1177.61 0 
  1185.87 1.1297e-14   1188.50 0 
  1194.09 1.0303e-14   1196.74 0 
  1205.14 8.7288e-15   1207.81 0 
  1216.29 4.8748e-15   1218.99 0 
  1224.72 9.4180e-15   1227.44 0 
  1236.05 1.1168e-14   1238.80 0 
  1244.62 1.1480e-14   1247.38 0 
  1256.14 1.1375e-14   1258.93 0 
  1264.85 1.1142e-14   1267.65 0 
