# An Atlas of Galaxy Spectral Energy Distributions from the Ultraviolet to the Mid-Infrared
# Brown et al. (2014)
# http://dx.doi.org/10.5072/03/529D3551F0117
# 
# Column 1 : Restframe Wavelength (Angstrom)
# Column 2 : Flux per unit wavelength (ergs/s/cm^2/Angstrom)
# Column 3 : Observed wavelength (Angstrom)
# Column 4 : Source (0 = model, 1 = Optical Spectrum, 2 = Akari, 3 = Spitzer IRS)
# 
   102.05 1.8394e-30    105.20 0 
   103.95 3.0018e-30    107.15 0 
   105.88 4.9670e-30    109.14 0 
   108.10 8.3513e-30    111.43 0 
   110.11 1.5865e-29    113.50 0 
   113.98 3.7746e-29    117.49 0 
   117.98 8.1895e-29    121.62 0 
   121.01 4.6644e-28    124.74 0 
   124.97 8.9991e-28    128.82 0 
   127.00 1.1992e-27    130.92 0 
   127.88 1.4085e-27    131.83 0 
   130.86 2.0956e-27    134.90 0 
   132.07 2.7423e-27    136.14 0 
   133.91 3.5143e-27    138.04 0 
   137.03 5.9343e-27    141.25 0 
   139.90 8.4514e-27    144.21 0 
   143.16 3.0230e-26    147.57 0 
   147.17 9.4803e-26    151.71 0 
   150.94 1.4101e-25    155.60 0 
   155.17 2.0826e-25    159.96 0 
   159.15 3.0478e-25    164.06 0 
   162.11 3.9768e-25    167.11 0 
   165.89 5.7011e-25    171.00 0 
   170.14 7.8942e-25    175.39 0 
   172.91 1.0090e-24    178.24 0 
   176.93 1.3717e-24    182.39 0 
   179.81 1.7093e-24    185.35 0 
   181.89 1.9747e-24    187.50 0 
   186.13 2.6173e-24    191.87 0 
   190.90 3.6654e-24    196.79 0 
   194.00 4.4940e-24    199.99 0 
   198.07 5.7545e-24    204.17 0 
   202.21 7.3514e-24    208.45 0 
   205.03 8.7889e-24    211.35 0 
   209.80 1.1174e-23    216.27 0 
   216.18 1.6151e-23    222.84 0 
   220.20 2.0026e-23    226.99 0 
   222.75 2.3024e-23    229.61 0 
   226.89 2.8284e-23    233.88 0 
   230.04 4.4265e-23    237.14 0 
   233.78 7.6643e-23    240.99 0 
   239.78 1.1818e-22    247.17 0 
   245.93 1.3759e-22    253.51 0 
   252.24 1.8013e-22    260.02 0 
   256.93 1.7942e-22    264.85 0 
   259.90 2.2772e-22    267.92 0 
   264.13 2.7023e-22    272.27 0 
