# An Atlas of Galaxy Spectral Energy Distributions from the Ultraviolet to the Mid-Infrared
# Brown et al. (2014)
# http://dx.doi.org/10.5072/03/529D3551F0117
# 
# Column 1 : Restframe Wavelength (Angstrom)
# Column 2 : Flux per unit wavelength (ergs/s/cm^2/Angstrom)
# Column 3 : Observed wavelength (Angstrom)
# Column 4 : Source (0 = model, 1 = Optical Spectrum, 2 = Akari, 3 = Spitzer IRS)
# 
   102.00 4.6845e-22    105.44 0 
   103.90 5.9932e-22    107.40 0 
   106.07 7.7922e-22    109.65 0 
   108.05 1.0343e-21    111.69 0 
   110.05 1.5334e-21    113.76 0 
   113.92 2.3695e-21    117.76 0 
   117.92 3.4329e-21    121.90 0 
   120.95 1.3541e-20    125.03 0 
   124.91 1.8099e-20    129.12 0 
   126.94 2.0214e-20    131.22 0 
   128.12 2.1760e-20    132.43 0 
   131.10 2.5273e-20    135.52 0 
   132.01 3.0385e-20    136.46 0 
   133.85 3.3163e-20    138.36 0 
   136.96 4.4021e-20    141.58 0 
   140.15 4.9964e-20    144.88 0 
   143.09 1.4678e-19    147.91 0 
   147.10 3.9688e-19    152.05 0 
   150.87 4.4633e-19    155.96 0 
   155.10 5.0659e-19    160.32 0 
   159.08 5.7764e-19    164.44 0 
   162.03 6.3046e-19    167.49 0 
   166.19 7.1723e-19    171.79 0 
   170.06 7.9554e-19    175.79 0 
   172.82 8.6429e-19    178.65 0 
   176.85 9.5205e-19    182.81 0 
   180.14 1.0225e-18    186.21 0 
   181.80 1.0707e-18    187.93 0 
   186.04 1.1713e-18    192.31 0 
   190.81 1.3051e-18    197.24 0 
   193.91 1.3985e-18    200.45 0 
   197.97 1.5089e-18    204.64 0 
   202.12 1.6355e-18    208.93 0 
   204.93 1.7324e-18    211.84 0 
   210.19 1.8099e-18    217.27 0 
   216.08 2.0973e-18    223.36 0 
   220.09 2.2525e-18    227.51 0 
   223.15 2.3370e-18    230.67 0 
   226.78 2.5099e-18    234.42 0 
   229.94 3.8785e-18    237.68 0 
   234.21 6.4664e-18    242.10 0 
   240.22 8.2160e-18    248.31 0 
   245.81 7.9737e-18    254.10 0 
   252.12 8.7229e-18    260.62 0 
   256.81 7.5277e-18    265.46 0 
   259.78 8.7833e-18    268.53 0 
   264.00 9.3683e-18    272.90 0 
   268.91 9.5205e-18    277.97 0 
   273.91 9.6530e-18    283.14 0 
   279.00 9.7872e-18    288.40 0 
   284.19 9.9463e-18    293.76 0 
   290.14 9.6530e-18    299.92 0 
   296.21 9.9692e-18    306.20 0 
   301.03 9.9463e-18    311.17 0 
   308.04 1.0225e-17    318.42 0 
   318.13 1.0658e-17    328.85 0 
   327.80 1.0831e-17    338.84 0 
   337.76 1.0881e-17    349.14 0 
   348.02 1.0906e-17    359.75 0 
   356.95 1.0981e-17    368.98 0 
   366.10 1.1134e-17    378.44 0 
   374.63 1.1109e-17    387.26 0 
   385.13 1.0731e-17    398.11 0 
   395.01 1.1058e-17    408.32 0 
   405.14 1.1134e-17    418.79 0 
   413.62 1.1032e-17    427.56 0 
   422.28 1.0881e-17    436.52 0 
   430.14 1.0756e-17    444.63 0 
   441.17 1.0756e-17    456.04 0 
   451.45 1.0584e-17    466.66 0 
   459.84 1.0391e-17    475.34 0 
   469.47 1.0272e-17    485.29 0 
   480.40 1.0248e-17    496.59 0 
   490.46 9.9463e-18    506.99 0 
   499.58 9.9922e-18    516.42 0 
   506.53 9.8551e-18    523.60 0 
   512.40 1.0906e-17    529.66 0 
   519.52 1.0856e-17    537.03 0 
   530.40 1.0682e-17    548.28 0 
   540.26 1.0272e-17    558.47 0 
   550.31 1.0682e-17    568.85 0 
   560.54 1.1237e-17    579.43 0 
   569.65 1.1686e-17    588.84 0 
   580.24 1.1367e-17    599.79 0 
   589.67 1.2069e-17    609.54 0 
   600.63 1.1876e-17    620.87 0 
   610.39 1.1632e-17    630.96 0 
   620.31 1.3448e-17    641.21 0 
   630.38 1.3730e-17    651.63 0 
   640.63 1.4049e-17    662.22 0 
   649.54 1.4814e-17    671.43 0 
   658.58 1.5124e-17    680.77 0 
   664.67 1.5910e-17    687.07 0 
   675.47 1.6243e-17    698.23 0 
   684.87 1.5764e-17    707.95 0 
   694.39 1.8778e-17    717.79 0 
   705.68 1.7687e-17    729.46 0 
   715.49 2.0877e-17    739.61 0 
   725.45 2.1710e-17    749.89 0 
   735.54 2.2577e-17    760.33 0 
   745.77 2.4415e-17    770.90 0 
   754.41 2.5743e-17    779.83 0 
   764.90 2.5981e-17    790.68 0 
   775.54 2.9151e-17    801.68 0 
   784.52 3.0245e-17    810.96 0 
   795.44 3.2334e-17    822.24 0 
   804.65 3.4093e-17    831.76 0 
   815.84 3.5617e-17    843.33 0 
   825.29 3.8695e-17    853.10 0 
   834.84 3.2409e-17    862.98 0 
   844.51 4.1272e-17    872.97 0 
   854.29 4.2625e-17    883.08 0 
   864.18 4.6096e-17    893.31 0 
   874.19 4.9279e-17    903.65 0 
   884.31 5.3047e-17    914.11 0 
   894.55 5.6061e-17    924.70 0 
   904.91 5.6710e-17    935.41 0 
   915.39 7.6324e-17    946.24 0 
   925.99 4.3019e-16    957.19 0 
   934.56 9.2185e-16    966.05 0 
   945.38 1.7205e-15    977.24 0 
   954.13 2.4359e-15    986.28 0 
   965.17 2.6894e-15    997.70 0 
   974.10 4.4531e-16   1006.93 0 
   985.38 2.1710e-15   1018.59 0 
   994.50 2.3478e-15   1028.02 0 
  1006.02 3.5291e-15   1039.92 0 
  1015.33 3.4408e-15   1049.54 0 
  1024.72 1.5440e-15   1059.25 0 
  1034.20 2.3859e-15   1069.05 0 
  1046.18 4.6308e-15   1081.43 0 
  1055.86 4.5254e-15   1091.44 0 
  1065.63 3.5129e-15   1101.54 0 
  1075.49 4.2234e-15   1111.73 0 
  1085.44 3.2935e-15   1122.02 0 
  1095.48 4.4531e-15   1132.40 0 
  1105.62 4.2723e-15   1142.88 0 
  1115.85 4.0800e-15   1153.45 0 
  1126.17 3.6279e-15   1164.13 0 
  1133.98 4.7061e-15   1172.20 0 
  1144.47 4.2625e-15   1183.04 0 
  1155.06 4.5463e-15   1193.99 0 
  1165.75 4.6737e-15   1205.04 0 
  1173.83 3.1453e-15   1213.39 0 
  1184.69 4.5254e-15   1224.62 0 
  1195.65 3.0879e-15   1235.95 0 
  1203.94 2.2063e-15   1244.51 0 
  1215.08 1.5873e-15   1256.03 0 
  1226.32 3.1236e-15   1267.65 0 
  1234.82 4.7278e-15   1276.44 0 
  1246.25 5.1839e-15   1288.25 0 
  1254.89 4.9279e-15   1297.18 0 
  1263.59 4.2331e-15   1306.17 0 
  1275.28 5.5165e-15   1318.26 0 
  1284.12 5.7898e-15   1327.39 0 
  1296.00 4.4943e-15   1339.68 0 
  1304.99 4.4531e-15   1348.96 0 
  1314.03 5.6450e-15   1358.31 0 
  1326.19 5.3785e-15   1370.88 0 
  1335.38 4.7387e-15   1380.38 0 
  1344.64 5.6972e-15   1389.95 0 
  1353.96 5.5038e-15   1399.59 0 
  1366.49 4.8827e-15   1412.54 0 
  1375.96 5.1364e-15   1422.33 0 
  1385.50 5.1839e-15   1432.19 0 
  1395.10 4.4224e-15   1442.12 0 
  1404.77 4.5778e-15   1452.11 0 
  1414.51 4.7826e-15   1462.18 0 
  1424.31 4.9052e-15   1472.31 0 
  1434.19 4.8940e-15   1482.52 0 
  1440.81 5.1720e-15   1489.36 0 
  1447.46 5.2682e-15   1496.24 0 
  1454.14 5.1011e-15   1503.14 0 
  1464.22 4.6845e-15   1513.56 0 
  1474.37 4.6953e-15   1524.05 0 
  1484.59 4.7936e-15   1534.62 0 
  1494.88 4.8827e-15   1545.25 0 
  1505.24 4.5990e-15   1555.97 0 
  1512.19 4.0800e-15   1563.15 0 
  1515.67 4.3718e-15   1566.75 0 
  1526.18 4.2723e-15   1577.61 0 
  1536.76 3.6954e-15   1588.55 0 
  1543.85 4.0613e-15   1595.88 0 
  1554.55 3.8341e-15   1606.94 0 
  1565.33 3.9324e-15   1618.08 0 
  1576.18 4.2625e-15   1629.30 0 
  1583.45 4.4943e-15   1636.82 0 
  1594.43 4.6202e-15   1648.16 0 
  1605.48 4.5150e-15   1659.59 0 
  1616.61 4.5046e-15   1671.09 0 
  1624.07 4.2331e-15   1678.80 0 
  1635.33 4.5463e-15   1690.44 0 
  1646.67 4.6737e-15   1702.16 0 
  1654.27 4.2429e-15   1710.02 0 
  1665.73 4.7169e-15   1721.87 0 
  1673.42 4.0894e-15   1729.82 0 
  1677.28 4.9392e-15   1733.80 0 
  1685.02 5.1601e-15   1741.81 0 
  1696.70 4.7606e-15   1753.88 0 
  1704.53 4.5884e-15   1761.98 0 
  1716.35 4.4326e-15   1774.19 0 
  1724.27 4.4224e-15   1782.38 0 
  1736.22 4.7716e-15   1794.73 0 
  1744.24 4.6522e-15   1803.02 0 
  1756.33 5.0311e-15   1815.52 0 
  1764.43 4.5046e-15   1823.90 0 
  1776.66 4.7061e-15   1836.54 0 
  1784.87 4.7606e-15   1845.02 0 
  1793.10 5.2079e-15   1853.53 0 
  1805.53 5.1011e-15   1866.38 0 
  1813.87 4.7716e-15   1874.99 0 
  1826.44 4.8046e-15   1887.99 0 
  1834.87 4.5778e-15   1896.71 0 
  1843.34 4.1750e-15   1905.46 0 
  1856.12 4.2821e-15   1918.67 0 
  1864.69 4.4839e-15   1927.53 0 
  1873.29 4.7496e-15   1936.42 0 
  1886.28 4.4326e-15   1949.84 0 
  1894.98 4.3417e-15   1958.84 0 
  1903.73 4.5046e-15   1967.89 0 
  1916.93 4.4122e-15   1981.53 0 
  1925.77 4.3019e-15   1990.67 0 
  1934.66 4.2331e-15   1999.86 0 
  1943.59 4.6522e-15   2009.09 0 
  1957.07 4.4021e-15   2023.02 0 
  1966.10 4.8491e-15   2032.36 0 
  1975.17 4.9279e-15   2041.74 0 
  1984.29 4.6845e-15   2051.16 0 
  1993.45 4.5568e-15   2060.63 0 
  2007.27 4.6096e-15   2074.91 0 
