# An Atlas of Galaxy Spectral Energy Distributions from the Ultraviolet to the Mid-Infrared
# Brown et al. (2014)
# http://dx.doi.org/10.5072/03/529D3551F0117
# 
# Column 1 : Restframe Wavelength (Angstrom)
# Column 2 : Flux per unit wavelength (ergs/s/cm^2/Angstrom)
# Column 3 : Observed wavelength (Angstrom)
# Column 4 : Source (0 = model, 1 = Optical Spectrum, 2 = Akari, 3 = Spitzer IRS)
# 
   102.05 2.9810e-26    104.23 0 
   103.95 4.3588e-26    106.17 0 
   105.88 6.4769e-26    108.14 0 
   108.10 9.7581e-26    110.41 0 
   110.11 1.6687e-25    112.46 0 
   113.97 3.2913e-25    116.41 0 
   117.98 5.9892e-25    120.50 0 
   121.01 2.6264e-24    123.59 0 
   124.97 4.3890e-24    127.64 0 
   127.00 5.4748e-24    129.72 0 
   127.88 6.2139e-24    130.62 0 
   130.86 8.4599e-24    133.66 0 
   132.07 1.0577e-23    134.90 0 
   133.91 1.2805e-23    136.77 0 
   137.03 1.9381e-23    139.96 0 
   139.90 2.5490e-23    142.89 0 
   143.16 7.7333e-23    146.22 0 
   147.17 2.3140e-22    150.31 0 
   150.94 3.1000e-22    154.17 0 
   155.17 4.1530e-22    158.49 0 
   159.15 5.5509e-22    162.55 0 
   162.11 6.8134e-22    165.58 0 
   165.89 8.9819e-22    169.43 0 
   170.14 1.1491e-21    173.78 0 
   172.91 1.3815e-21    176.60 0 
   176.93 1.7393e-21    180.72 0 
   179.81 2.0576e-21    183.65 0 
   181.89 2.2981e-21    185.78 0 
   186.13 2.8403e-21    190.11 0 
   190.90 3.6590e-21    194.98 0 
   194.00 4.2694e-21    198.15 0 
   198.07 5.1448e-21    202.30 0 
   202.21 6.1996e-21    206.54 0 
   205.03 7.0854e-21    209.41 0 
   209.80 8.4017e-21    214.29 0 
   216.18 1.1204e-20    220.80 0 
   220.20 1.3194e-20    224.91 0 
   222.75 1.4634e-20    227.51 0 
   226.89 1.7154e-20    231.74 0 
   230.04 2.8666e-20    234.96 0 
   233.78 5.1924e-20    238.78 0 
   239.78 7.4023e-20    244.91 0 
   245.93 8.0792e-20    251.19 0 
   252.24 9.8258e-20    257.63 0 
   256.93 9.2548e-20    262.42 0 
   259.90 1.1334e-19    265.46 0 
   264.12 1.2893e-19    269.77 0 
   269.03 1.4235e-19    274.79 0 
   274.04 1.5609e-19    279.90 0 
   279.13 1.7075e-19    285.10 0 
   284.32 1.8680e-19    290.40 0 
   290.27 1.9786e-19    296.48 0 
   295.67 2.2150e-19    302.00 0 
   301.17 2.3570e-19    307.61 0 
   308.18 2.6568e-19    314.77 0 
   318.28 3.1072e-19    325.09 0 
   327.95 3.5511e-19    334.97 0 
   337.92 3.9844e-19    345.14 0 
   348.18 4.4296e-19    355.63 0 
   357.11 4.8794e-19    364.75 0 
   366.28 5.3997e-19    374.11 0 
   374.81 5.8528e-19    382.82 0 
   385.31 6.1711e-19    393.55 0 
   395.19 6.9241e-19    403.65 0 
   405.33 7.5573e-19    414.00 0 
   413.82 8.0420e-19    422.67 0 
   422.48 8.4017e-19    431.52 0 
   430.34 8.7976e-19    439.54 0 
   441.38 9.5141e-19    450.82 0 
   450.62 1.0008e-18    460.26 0 
   460.05 1.0432e-18    469.89 0 
   469.69 1.0949e-18    479.73 0 
   479.52 1.1571e-18    489.78 0 
   489.56 1.1922e-18    500.03 0 
   499.81 1.2658e-18    510.50 0 
   505.60 1.2805e-18    516.42 0 
   511.46 1.3752e-18    522.40 0 
   519.77 1.4137e-18    530.88 0 
   529.43 1.4500e-18    540.75 0 
   540.52 1.4600e-18    552.08 0 
   550.56 1.5114e-18    562.34 0 
   559.51 1.6083e-18    571.48 0 
   569.91 1.6880e-18    582.10 0 
   580.51 1.7154e-18    592.93 0 
   589.94 1.7839e-18    602.56 0 
   599.53 1.7921e-18    612.35 0 
   610.67 1.6802e-18    623.73 0 
   620.59 1.9470e-18    633.87 0 
   630.68 1.9741e-18    644.17 0 
   639.45 2.0482e-18    653.13 0 
   649.84 2.0959e-18    663.74 0 
   657.37 2.1153e-18    671.43 0 
   664.98 2.1896e-18    679.20 0 
   674.23 2.2406e-18    688.65 0 
   685.19 2.2201e-18    699.84 0 
   694.72 2.3734e-18    709.58 0 
   704.38 2.3301e-18    719.45 0 
   715.83 2.5025e-18    731.14 0 
   725.78 2.5549e-18    741.31 0 
   734.19 2.6084e-18    749.89 0 
   744.40 2.6876e-18    760.33 0 
   754.76 2.7502e-18    770.90 0 
   765.26 2.6568e-18    781.63 0 
   774.12 2.9065e-18    790.68 0 
   784.89 2.9469e-18    801.68 0 
   795.81 3.0434e-18    812.83 0 
   805.02 3.1359e-18    822.24 0 
   814.34 3.2016e-18    831.76 0 
   825.67 3.3371e-18    843.33 0 
   835.23 3.0645e-18    853.10 0 
   844.91 3.4464e-18    862.98 0 
   854.69 3.5024e-18    872.97 0 
   864.59 3.6422e-18    883.08 0 
   874.60 3.7876e-18    893.31 0 
   884.72 3.9570e-18    903.65 0 
   894.97 4.0866e-18    914.11 0 
   905.33 4.1150e-18    924.70 0 
   915.82 5.5509e-18    935.41 0 
   924.29 2.4910e-17    944.06 0 
   934.99 5.2889e-17    954.99 0 
   945.82 1.0078e-16    966.05 0 
   954.57 1.4400e-16    974.99 0 
   965.62 1.6610e-16    986.28 0 
   974.56 3.0434e-17    995.41 0 
   985.84 1.4804e-16   1006.93 0 
   994.97 1.5789e-16   1016.25 0 
  1004.17 2.3140e-16   1025.65 0 
  1015.80 2.2406e-16   1037.53 0 
  1025.20 9.6909e-17   1047.13 0 
  1034.68 1.6232e-16   1056.82 0 
  1044.26 3.1359e-16   1066.60 0 
  1053.92 3.1215e-16   1076.47 0 
  1066.12 2.5082e-16   1088.93 0 
  1075.99 3.0225e-16   1099.01 0 
  1085.95 2.4231e-16   1109.18 0 
  1095.99 3.2461e-16   1119.44 0 
  1106.13 3.1649e-16   1129.80 0 
  1113.80 3.0787e-16   1137.63 0 
  1124.11 2.8013e-16   1148.15 0 
  1134.51 3.5922e-16   1158.78 0 
  1145.01 3.2913e-16   1169.50 0 
  1155.60 3.5430e-16   1180.32 0 
  1166.29 3.7014e-16   1191.24 0 
  1174.38 2.6083e-16   1199.50 0 
  1185.24 3.6590e-16   1210.60 0 
  1196.21 2.5314e-16   1221.80 0 
  1204.50 1.8423e-16   1230.27 0 
  1215.65 1.2005e-16   1241.65 0 
  1224.07 2.5431e-16   1250.26 0 
  1235.40 3.9207e-16   1261.83 0 
  1243.96 4.3688e-16   1270.57 0 
  1255.47 4.2205e-16   1282.33 0 
  1264.18 3.6506e-16   1291.22 0 
  1275.87 4.7793e-16   1303.17 0 
  1284.72 5.0625e-16   1312.20 0 
  1293.62 4.0492e-16   1321.30 0 
  1305.59 4.0213e-16   1333.52 0 
  1314.64 5.0859e-16   1342.77 0 
  1323.76 4.9132e-16   1352.07 0 
  1336.00 4.3789e-16   1364.58 0 
  1345.27 5.2646e-16   1374.04 0 
  1354.59 5.1329e-16   1383.57 0 
  1363.98 4.6277e-16   1393.16 0 
  1373.43 4.9019e-16   1402.81 0 
  1386.14 5.0046e-16   1415.79 0 
  1395.75 4.4093e-16   1425.61 0 
  1405.43 4.6171e-16   1435.49 0 
  1415.17 4.7355e-16   1445.44 0 
  1424.98 4.9019e-16   1455.46 0 
  1434.85 4.9019e-16   1465.55 0 
  1441.48 5.2043e-16   1472.31 0 
  1448.13 5.3133e-16   1479.11 0 
  1454.82 5.1924e-16   1485.94 0 
  1464.90 4.8235e-16   1496.24 0 
  1475.05 4.8458e-16   1506.61 0 
  1485.28 4.9701e-16   1517.05 0 
  1495.57 5.0859e-16   1527.57 0 
  1505.94 4.8570e-16   1538.15 0 
