# An Atlas of Galaxy Spectral Energy Distributions from the Ultraviolet to the Mid-Infrared
# Brown et al. (2014)
# http://dx.doi.org/10.5072/03/529D3551F0117
# 
# Column 1 : Restframe Wavelength (Angstrom)
# Column 2 : Flux per unit wavelength (ergs/s/cm^2/Angstrom)
# Column 3 : Observed wavelength (Angstrom)
# Column 4 : Source (0 = model, 1 = Optical Spectrum, 2 = Akari, 3 = Spitzer IRS)
# 
   100.11 5.4928e-21    100.46 0 
   101.98 6.6343e-21    102.33 0 
   104.11 7.3248e-21    104.47 0 
   106.05 8.3521e-21    106.41 0 
   108.02 9.6782e-21    108.39 0 
   110.03 1.3360e-20    110.41 0 
   113.89 1.6436e-20    114.29 0 
   117.90 1.9178e-20    118.30 0 
   120.92 5.8586e-20    121.34 0 
   124.88 6.6957e-20    125.31 0 
   126.91 6.9951e-20    127.35 0 
   128.08 7.2410e-20    128.53 0 
   131.07 7.6700e-20    131.52 0 
   131.98 8.7055e-20    132.43 0 
   134.12 8.9701e-20    134.59 0 
   136.93 1.0563e-19    137.40 0 
   140.12 1.1112e-19    140.60 0 
   143.05 2.3110e-19    143.55 0 
   147.06 4.2736e-19    147.57 0 
   150.83 4.4750e-19    151.36 0 
   155.06 4.7402e-19    155.60 0 
   159.04 5.0326e-19    159.59 0 
   161.99 5.2335e-19    162.55 0 
   166.15 5.5564e-19    166.72 0 
   170.02 5.8049e-19    170.61 0 
   173.18 6.0366e-19    173.78 0 
   176.81 6.2921e-19    177.42 0 
   180.09 6.4833e-19    180.72 0 
   182.18 6.6038e-19    182.81 0 
   185.99 6.8675e-19    186.64 0 
   191.20 7.1746e-19    191.87 0 
   193.86 7.4096e-19    194.54 0 
   197.92 7.6524e-19    198.61 0 
   202.07 7.9213e-19    202.77 0 
   204.88 8.1058e-19    205.59 0 
   210.13 8.1058e-19    210.86 0 
   216.02 8.7659e-19    216.77 0 
   220.04 9.0531e-19    220.80 0 
   223.10 9.1368e-19    223.87 0 
   227.25 9.4362e-19    228.03 0 
   229.88 1.4054e-18    230.67 0 
   234.15 2.2740e-18    234.96 0 
   240.16 3.0047e-18    240.99 0 
   245.75 2.7977e-18    246.60 0 
   252.06 2.9430e-18    252.93 0 
   256.74 2.2951e-18    257.63 0 
   259.72 2.8106e-18    260.62 0 
   263.94 2.9634e-18    264.85 0 
   268.84 2.9363e-18    269.77 0 
   273.84 2.8893e-18    274.79 0 
   278.93 2.8301e-18    279.90 0 
   284.12 2.8171e-18    285.10 0 
   290.07 2.6595e-18    291.07 0 
   296.14 2.6290e-18    297.17 0 
   300.95 2.4536e-18    302.00 0 
   307.96 2.4992e-18    309.03 0 
   318.05 2.5398e-18    319.15 0 
   327.72 2.4706e-18    328.85 0 
   337.67 2.3812e-18    338.84 0 
   347.93 2.2845e-18    349.14 0 
   356.86 2.2532e-18    358.10 0 
   366.01 2.2636e-18    367.28 0 
   375.40 2.1918e-18    376.70 0 
   385.03 2.0314e-18    386.37 0 
   394.91 2.0739e-18    396.28 0 
   405.04 2.0644e-18    406.44 0 
   414.47 1.9989e-18    415.91 0 
   422.18 1.9222e-18    423.64 0 
   430.03 1.8569e-18    431.52 0 
   441.06 1.8399e-18    442.59 0 
   451.33 1.7939e-18    452.90 0 
   459.72 1.7211e-18    461.32 0 
   470.43 1.6858e-18    472.06 0 
   480.28 1.6896e-18    481.95 0 
   490.34 1.6210e-18    492.04 0 
   499.46 1.6665e-18    501.19 0 
   506.40 2.1767e-18    508.16 0 
   512.27 6.2058e-18    514.04 0 
   520.59 6.3650e-18    522.40 0 
   530.27 6.5433e-18    532.11 0 
   540.13 6.1206e-18    542.00 0 
   550.17 8.5664e-18    552.08 0 
   560.40 1.0158e-17    562.34 0 
   569.51 1.1371e-17    571.48 0 
   580.09 1.0661e-17    582.10 0 
   589.52 1.3056e-17    591.56 0 
   600.48 1.3329e-17    602.56 0 
   610.24 1.5660e-17    612.35 0 
   620.15 1.7815e-17    622.30 0 
   630.23 1.9090e-17    632.41 0 
